#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
1;3;122244;40,82;#BEC5D1;;190;197;209;217;9;82;79,3;-0,1;-6,8;pale blue-cyan
1;2;44992;15,02;#959794;;149;151;148;100;2;59;62,2;-1,3;1,3;grey
1;5;39688;13,25;#5F6B3A;;95;107;58;74;45;42;43,1;-13,2;25,9;yellow
1;1;37892;12,65;#64656B;;100;101;107;231;6;42;42,9;0,9;-3,5;grey
1;6;35376;11,81;#2F3A46;;47;58;70;211;32;27;23,9;-1,2;-8,9;dark blue-cyan
1;4;19298;6,44;#4C402F;;76;64;47;35;38;29;27,9;2,3;12,3;dark orange
2;3;89814;30,02;#777476;;119;116;118;320;2;46;49,2;1,5;-0,7;grey
2;2;62998;21,05;#9EA3B6;;158;163;182;227;13;71;67,2;2,1;-10,4;pale blue
2;1;54210;18,12;#43413B;;67;65;59;45;11;26;27,5;-0,4;4;dark orange
2;4;53982;18,04;#CFCBD2;;207;203;210;274;3;82;82,2;2,7;-3;very light grey
2;6;31918;10,67;#5679B3;;86;121;179;217;52;70;50,6;4,4;-34,5;blue-cyan
2;5;6287;2,1;#BD4D1D;;189;77;29;18;84;74;47,3;42,8;48,4;vivid red-orange
3;4;69226;23,12;#393C34;;57;60;52;82;13;23;24,8;-3;4,5;dark yellow-green
3;6;66209;22,12;#6F6F64;;111;111;100;60;9;43;46,5;-2,1;6,1;pale yellow
3;3;64825;21,65;#909D7F;;144;157;127;86;19;61;63;-10,2;14,2;pale yellow-green
3;2;49800;16,63;#5F714C;;95;113;76;89;32;44;45,3;-13,9;18,4;yellow-green
3;1;37162;12,41;#BEB4B2;;190;180;178;10;6;74;74,1;3,2;2,3;light grey
3;5;12154;4,06;#C0C465;;192;196;101;62;48;76;77,1;-14,8;46,8;yellow
4;2;71866;23,99;#33453D;;51;69;61;153;26;27;27,6;-9,1;2,5;dark blue-green
4;6;57476;19,19;#A9BFEC;;169;191;236;220;28;92;77,1;2,5;-24,8;light blue-cyan
4;5;51318;17,13;#556D7D;;85;109;125;204;32;49;44,7;-4,7;-11,7;blue-cyan
4;1;41633;13,9;#839BD3;;131;155;211;222;37;82;64,1;5,4;-31,3;light blue-cyan
4;3;41390;13,82;#CFD4E6;;207;212;230;227;10;90;85;1,8;-9,4;pale blue
4;4;35873;11,98;#7E7D5D;;126;125;93;58;26;49;51,7;-5,2;17,6;yellow-orange
5;3;72030;24,04;#847B76;;132;123;118;21;10;51;52,3;2,5;4;pale red-orange
5;2;58732;19,61;#76411D;;118;65;29;24;75;46;33,4;19,8;31,1;red-orange
5;1;55720;18,6;#CD8F34;;205;143;52;35;74;80;64,1;15,4;55,3;orange
5;4;54768;18,28;#A75517;;167;85;23;25;86;65;45,3;29,8;47,8;vivid red-orange
5;6;40206;13,42;#A77B4D;;167;123;77;30;53;65;55;11,6;31,7;orange
5;5;18112;6,05;#372215;;55;34;21;22;61;21;15,5;8,3;12,8;dark red-orange
6;6;86156;28,8;#BAAFA8;;186;175;168;23;9;72;72,2;2,7;5;pale red-orange
6;2;60031;20,07;#E0D5D0;;224;213;208;18;7;87;86;2,9;3,8;very light grey
6;5;45916;15,35;#8F7471;;143;116;113;6;21;56;51,3;10,1;5,6;pale red
6;3;41872;14;#4E4647;;78;70;71;352;10;30;30,5;3,6;0,6;dark red
6;1;33786;11,3;#898F84;;137;143;132;92;7;56;58,6;-4,3;5,1;grey
6;4;31344;10,48;#B07A4D;;176;122;77;27;56;69;55,8;16,1;32,9;red-orange
7;3;67282;22,49;#CA804E;;202;128;78;24;61;79;60,4;23,8;38,7;red-orange
7;2;60685;20,28;#784128;;120;65;40;18;66;47;33,8;21,4;25,4;red-orange
7;1;57358;19,17;#5B6B77;;91;107;119;205;23;46;44,3;-3,1;-8,7;pale blue-cyan
7;4;52460;17,53;#342B25;;52;43;37;24;28;20;18,3;3;5,4;dark red-orange
7;5;43187;14,43;#9F7E67;;159;126;103;24;35;62;55,4;9,4;17,4;red-orange
7;6;18237;6,1;#E1DED3;;225;222;211;47;6;88;88,4;-0,9;5,7;very light grey
8;1;75616;25,24;#603E33;;96;62;51;14;46;37;29,8;13,4;12,8;dark red
8;4;60028;20,04;#696D63;;105;109;99;84;9;42;45,4;-3,6;5,1;pale yellow-green
8;3;58183;19,42;#36322F;;54;50;47;25;13;21;21,1;1,1;2,5;dark red-orange
8;5;42363;14,14;#A06D5A;;160;109;90;16;43;62;50,9;17,9;18,8;red-orange
8;2;36353;12,14;#A99C8C;;169;156;140;33;17;66;65;2;10,1;pale orange
8;6;27025;9,02;#D9D5C6;;217;213;198;47;8;85;85,2;-1,2;7,9;pale yellow-orange
9;5;97567;32,57;#4F525D;;79;82;93;227;15;36;35;1,4;-6,8;dark blue
9;4;50277;16,78;#6D4237;;109;66;55;12;49;42;32,8;17,3;14,5;red
9;1;44486;14,85;#A57C5E;;165;124;94;25;43;64;55,3;11,9;22,6;red-orange
9;6;41514;13,86;#C8624E;;200;98;78;9;61;78;53,6;38,9;30,3;red
9;3;33724;11,26;#DDAC79;;221;172;121;30;45;86;73,7;11,5;33,1;orange
9;2;31970;10,67;#3F3735;;63;55;53;12;15;24;23,8;3,1;2,5;dark red
10;1;63730;21,29;#312B2D;;49;43;45;340;12;19;18,2;3,2;-0,3;very dark red-violet
10;2;63113;21,09;#B5AAB3;;181;170;179;310;6;71;70,8;5,6;-3,2;light grey
10;6;53607;17,91;#5E6184;;94;97;132;235;28;51;42,1;7,3;-19,8;blue
10;3;53470;17,87;#866C62;;134;108;98;16;26;52;47,8;8,7;9,5;red-orange
10;4;33490;11,19;#6D3824;;109;56;36;16;67;42;29,9;21,5;22,8;red-orange
10;5;31890;10,65;#B76441;;183;100;65;17;64;71;51,3;30,3;34,3;red-orange
11;1;92737;37,27;#0F0D08;;15;13;8;42;46;5;3,7;-0,1;2,2;very dark orange
11;5;34607;13,91;#B6B0AD;;182;176;173;20;4;71;72,2;1,6;2,3;light grey
11;4;34495;13,86;#382F2C;;56;47;44;15;21;22;20,3;3,5;3,4;dark red-orange
11;6;30319;12,18;#635754;;99;87;84;12;15;38;38;4,3;3,5;pale red
11;2;28345;11,39;#FBFBFB;;251;251;251;0;0;98;98,6;0;0;white
11;3;28329;11,38;#877D7A;;135;125;122;13;9;52;53,2;3,2;3;pale red
12;1;65609;21,92;#4A371A;;74;55;26;36;64;29;24,5;4,5;21,2;dark orange
12;4;55468;18,53;#685C4C;;104;92;76;34;26;40;39,8;2;11;orange
12;3;55092;18,41;#2D210B;;45;33;11;38;75;17;13,6;2,6;15,7;very dark orange
12;5;53834;17,99;#423B2D;;66;59;45;40;31;25;25,2;0,4;9,8;dark orange
12;2;36718;12,27;#9E8866;;158;136;102;36;35;62;57,9;3,2;21,4;orange
12;6;32579;10,89;#120A03;;18;10;3;28;83;7;3,2;1,6;3,6;very dark red-orange
13;1;74618;24,91;#6D3409;;109;52;9;25;91;42;28,7;22,5;35,7;red-orange
13;6;61971;20,69;#461907;;70;25;7;17;90;27;15,6;20,4;20,6;dark red-orange
13;2;61566;20,55;#95580D;;149;88;13;33;91;58;43,4;20;48,5;orange
13;3;48311;16,13;#1B0704;;27;7;4;7;85;10;3,6;7,2;3,8;very dark red
13;4;38292;12,78;#CC8F22;;204;143;34;38;83;80;63,8;14,3;61,7;vivid orange
13;5;14834;4,95;#6C5E65;;108;94;101;330;13;42;41,4;7;-1,9;pale red-violet
14;2;67162;22,42;#494149;;73;65;73;300;11;28;28,6;5,1;-3,6;dark violet
14;1;57372;19,15;#DDE3F2;;221;227;242;222;8;94;90,2;0,8;-8;pale blue-cyan
14;5;54344;18,14;#2C262D;;44;38;45;291;15;17;16,1;4,4;-3,6;very dark violet
14;6;50243;16,77;#BBC1D1;;187;193;209;223;10;82;78,1;1,1;-8,7;pale blue-cyan
14;3;36895;12,32;#92A1B9;;146;161;185;216;21;72;65,8;0;-14,1;pale blue-cyan
14;4;33552;11,2;#596F8E;;89;111;142;215;37;55;46,2;0;-19,6;blue-cyan
15;1;180933;60,4;#120C04;;18;12;4;34;77;7;3,6;0,9;3,8;very dark orange
15;3;56688;18,92;#2C1F07;;44;31;7;38;84;17;12,8;3,1;16,2;very dark orange
15;2;25988;8,68;#8D770A;;141;119;10;49;92;55;50,5;-1,6;54,3;yellow-orange
15;6;24325;8,12;#554309;;85;67;9;45;89;33;29,3;1,5;34,9;dark yellow-orange
15;4;9831;3,28;#DBD024;;219;208;36;56;83;85;82;-13,2;77,1;vivid yellow-orange
15;5;1803;0,6;#F1F2D6;;241;242;214;62;11;94;94,8;-5;13,4;pale yellow
16;1;108638;36,28;#241119;;36;17;25;334;52;14;7,6;11,3;-1,5;very dark red-violet
16;2;75193;25,11;#A198A3;;161;152;163;289;6;63;63,9;5,4;-4,6;light grey
16;5;47901;16;#615B5E;;97;91;94;330;6;38;39,3;3;-0,9;dark grey
16;3;28567;9,54;#702A38;;112;42;56;348;62;43;27,8;32,3;7,2;red
16;6;20901;6,98;#AF6753;;175;103;83;13;52;68;51,2;26,8;23,7;red
16;4;18272;6,1;#DCCA8C;;220;202;140;46;36;86;81,5;-2,6;33,3;light yellow-orange
17;1;123872;41,35;#1A0D09;;26;13;9;14;65;10;4,8;4,8;3,5;very dark red
17;3;97190;32,44;#381F13;;56;31;19;19;66;22;14,8;10,7;13,2;dark red-orange
17;5;31889;10,64;#673F24;;103;63;36;24;65;40;30,8;14,5;23,6;red-orange
17;2;22255;7,43;#B68045;;182;128;69;31;62;71;57,9;14,7;39,8;orange
17;4;14243;4,75;#F4D87F;;244;216;127;45;48;95;86,9;-1,6;47,2;yellow-orange
17;6;10119;3,38;#FDFDE0;;253;253;224;60;11;99;98,6;-4,8;13,9;pale yellow
18;6;73777;24,65;#3D2F20;;61;47;32;31;47;23;20,6;3,9;12,1;dark orange
18;4;62380;20,84;#5F4E3A;;95;78;58;32;38;37;34,4;3,9;14,5;dark orange
18;3;56197;18,78;#C0AEA6;;192;174;166;18;13;75;72,4;5,1;6,4;pale red-orange
18;5;46443;15,52;#907A6B;;144;122;107;24;25;56;52,9;6;11,4;red-orange
18;2;42621;14,24;#1B1111;;27;17;17;0;37;10;6,1;4,6;1,6;very dark red
18;1;17882;5,97;#C2824A;;194;130;74;28;61;76;59,8;19,1;39,9;red-orange
19;6;111718;37,33;#171108;;23;17;8;36;65;9;5,4;1,1;4,9;very dark orange
19;2;49483;16,53;#3C2713;;60;39;19;29;68;23;17,7;7,3;17;dark red-orange
19;4;46313;15,47;#613F1E;;97;63;30;29;69;38;29,9;11,2;25,8;red-orange
19;3;39868;13,32;#8D5C2B;;141;92;43;30;69;55;43,5;15,2;35,6;red-orange
19;5;31304;10,46;#B6854E;;182;133;78;31;57;71;59,2;12,6;36,7;orange
19;1;20614;6,89;#F1C58E;;241;197;142;33;41;94;82,2;8,5;33,5;light orange
20;4;80917;27,01;#140C05;;20;12;5;28;75;7;3,8;1,9;3,7;very dark red-orange
20;1;79664;26,59;#342313;;52;35;19;29;63;20;15,4;5,8;13,8;dark red-orange
20;2;43047;14,37;#958474;;149;132;116;29;22;58;56,2;3,8;11;pale red-orange
20;5;39870;13,31;#634527;;99;69;39;30;60;38;31,9;9,2;23,1;red-orange
20;6;34065;11,37;#C9BCAC;;201;188;172;33;14;78;76,9;1,9;9,7;pale orange
20;3;22005;7,35;#CE8D42;;206;141;66;32;68;80;63,8;17,6;48,8;orange
21;1;129602;43,26;#161211;;22;18;17;12;22;8;5,8;1,5;1,2;very dark red
21;5;54961;18,35;#3A2517;;58;37;23;24;60;22;16,9;8;13,3;dark red-orange
21;2;44999;15,02;#A7773D;;167;119;61;32;63;65;53,8;12,6;38,7;orange
21;3;39398;13,15;#704926;;112;73;38;28;66;43;34,7;12,8;27,4;red-orange
21;6;24618;8,22;#E3B563;;227;181;99;38;56;89;76,2;7,3;47,6;orange
21;4;5990;2;#FDFDF2;;253;253;242;60;4;99;99;-1,9;5,3;white
22;1;96729;32,29;#4A2219;;74;34;25;11;66;29;18,7;18;14,7;dark red
22;3;76952;25,69;#753A21;;117;58;33;17;71;45;31,6;23,7;26,9;red-orange
22;6;60412;20,17;#190C0B;;25;12;11;4;56;9;4,5;5,1;2,2;very dark red
22;2;37581;12,55;#B26E31;;178;110;49;28;72;69;52,8;21,7;44;red-orange
22;4;24459;8,16;#EEB740;;238;183;64;41;73;93;77,5;8,7;64,9;orange
22;5;3435;1,15;#FBF7BE;;251;247;190;56;24;98;96,3;-7,4;28;pale yellow-orange
23;1;82023;27,39;#343027;;52;48;39;41;25;20;20;-0,1;6,4;dark orange
23;5;68600;22,91;#15130F;;21;19;15;40;28;8;6;0,1;2,5;very dark orange
23;3;57307;19,13;#5B554A;;91;85;74;38;18;35;36,4;0,3;7,3;dark orange
23;2;49938;16,67;#7D7A76;;125;122;118;34;5;49;51,4;0,4;2,6;grey
23;6;35236;11,77;#ACADB2;;172;173;178;230;3;69;70,8;0,6;-2,7;light grey
23;4;6386;2,13;#D8B96C;;216;185;108;42;50;84;76,3;1,4;42,9;orange
24;1;66643;22,27;#201109;;32;17;9;20;71;12;6,6;6,3;6,3;very dark red-orange
24;2;60146;20,1;#CA841E;;202;132;30;35;85;79;60,9;19,3;60,4;vivid orange
24;5;59132;19,76;#4B280C;;75;40;12;26;84;29;20,2;13,8;24,3;dark red-orange
24;4;45105;15,07;#8A5419;;138;84;25;31;81;54;40,9;17,6;41,5;orange
24;3;34690;11,59;#554A4B;;85;74;75;354;12;33;32,6;4,8;1,1;dark red
24;6;33584;11,22;#B99E7E;;185;158;126;32;31;72;66,7;5,2;20,4;orange
25;3;68430;22,85;#5C5856;;92;88;86;20;6;36;37,7;1,2;1,7;dark grey
25;1;64339;21,49;#261C14;;38;28;20;26;47;14;11,2;3,5;7,3;very dark red-orange
25;6;59490;19,87;#8D8885;;141;136;133;22;5;55;57;1,3;2,3;grey
25;2;49117;16,4;#C9C2B7;;201;194;183;36;9;78;78,7;0,5;6,4;pale orange
25;5;35886;11,98;#3E4E2C;;62;78;44;88;43;30;31;-13,2;18,1;dark yellow-green
25;4;22198;7,41;#7C4E31;;124;78;49;23;60;48;37,8;16,2;25;red-orange
26;6;58308;19,46;#C67822;;198;120;34;31;82;77;57,6;24,2;56;vivid orange
26;2;56128;18,74;#472003;;71;32;3;25;95;27;17,4;16,5;24,5;dark red-orange
26;1;49364;16,48;#9C5912;;156;89;18;30;88;61;44,6;22,7;48,3;orange
26;4;47405;15,82;#2C1002;;44;16;2;20;95;17;8,2;13,1;11,8;very dark red-orange
26;3;45444;15,17;#EB9E40;;235;158;64;33;72;92;71,2;20,7;58,5;orange
26;5;42919;14,33;#6A3606;;106;54;6;28;94;41;28,7;19,9;36,7;red-orange
27;2;69598;23,23;#BEBAB4;;190;186;180;36;5;74;75,7;0,3;3,5;light grey
27;5;56202;18,76;#9E9A94;;158;154;148;36;6;62;63,8;0,3;3,7;light grey
27;4;54866;18,32;#DBD9D7;;219;217;215;30;1;85;86,8;0,3;1,2;very light grey
27;3;42127;14,06;#7A7772;;122;119;114;37;6;47;50,2;0,2;3,2;grey
27;1;38739;12,93;#2E2B2D;;46;43;45;320;6;18;17,9;1,8;-0,8;very dark grey
27;6;38036;12,7;#51504E;;81;80;78;40;3;31;34,1;0;1,3;dark grey
28;1;139580;46,64;#120603;;18;6;3;12;83;7;2,4;3,2;2,4;very dark red
28;6;74775;24,98;#2B1405;;43;20;5;23;88;16;9,2;10,2;11,9;very dark red-orange
28;4;35455;11,85;#4B2B0A;;75;43;10;30;86;29;21;11,8;26;dark orange
28;5;22211;7,42;#D7BA4F;;215;186;79;47;63;84;76,2;-1,8;56,5;yellow-orange
28;3;17445;5,83;#8B631D;;139;99;29;38;79;54;44,9;9,5;43,7;orange
28;2;9834;3,29;#F8F5CF;;248;245;207;55;16;97;95,9;-5,1;18,7;pale yellow-orange
29;2;63516;21,24;#422308;;66;35;8;27;87;25;17,4;12,3;22,3;dark red-orange
29;4;58654;19,61;#190A03;;25;10;3;19;88;9;3,9;4,8;4,7;very dark red-orange
29;3;53989;18,05;#A67C2B;;166;124;43;39;74;65;54,8;8,2;48,4;orange
29;1;48694;16,28;#DAB346;;218;179;70;44;67;85;74,6;2,6;58,8;orange
29;5;47878;16,01;#724A15;;114;74;21;34;81;44;35,1;12,1;36,6;orange
29;6;26312;8,8;#F7DD7D;;247;221;125;47;49;96;88,4;-3,1;50,1;yellow-orange
30;5;65309;21,8;#AA5F2C;;170;95;44;24;74;66;48,2;26,4;41,3;red-orange
30;4;58946;19,68;#78411E;;120;65;30;23;75;47;33,7;20,8;31;red-orange
30;2;52166;17,41;#EB8E41;;235;142;65;27;72;92;67,6;29,2;54,3;red-orange
30;6;48040;16,04;#4B240A;;75;36;10;24;86;29;19,1;16,3;23,9;dark red-orange
30;1;43358;14,47;#74634B;;116;99;75;35;35;45;43;3;16,2;orange
30;3;31749;10,6;#1F0B02;;31;11;2;18;93;12;4,8;7,7;6,6;very dark red-orange
31;2;72998;24,37;#60380A;;96;56;10;32;89;37;27,7;14;33,6;dark orange
31;1;63644;21,25;#BB7C0F;;187;124;15;38;92;73;57,1;16,8;60,6;vivid orange
31;3;60602;20,23;#8B5714;;139;87;20;33;85;54;41,8;16,2;44,3;orange
31;4;39174;13,08;#E1AC12;;225;172;18;44;92;88;73,3;7,6;74;vivid orange
31;6;34712;11,59;#58432B;;88;67;43;32;51;34;30,1;5,6;18;dark orange
31;5;28438;9,49;#341706;;52;23;6;22;88;20;11,7;12,9;15,2;dark red-orange
32;6;75909;25,36;#421F07;;66;31;7;24;89;25;16,3;14,9;21,3;dark red-orange
32;1;71550;23,9;#6A3509;;106;53;9;27;91;41;28,5;20,6;35,3;red-orange
32;2;62381;20,84;#1F110B;;31;17;11;18;64;12;6,5;5,9;5,3;very dark red-orange
32;5;43052;14,38;#A05B12;;160;91;18;30;88;62;45,6;23,3;49,4;orange
32;3;28186;9,41;#DC9529;;220;149;41;36;81;86;67,2;18,2;63;vivid orange
32;4;18298;6,11;#F7D56E;;247;213;110;45;55;96;86,3;-0,3;54,6;yellow-orange
33;3;82761;27,63;#8A441D;;138;68;29;21;79;54;37,2;26,9;36;red-orange
33;1;73445;24,52;#190B0B;;25;11;11;0;56;9;4,2;5,5;1,9;very dark red
33;2;57024;19,04;#642D15;;100;45;21;18;79;39;25,7;23;26,5;red-orange
33;6;41632;13,9;#3F190E;;63;25;14;13;77;24;14,3;17,6;15,7;dark red
33;5;38231;12,76;#B35E2A;;179;94;42;22;76;70;49,2;30,6;43,8;vivid red-orange
33;4;6475;2,16;#F1D194;;241;209;148;39;38;94;85,2;2,9;34,4;light orange
34;2;102100;34,08;#190B07;;25;11;7;13;72;9;4,2;4,9;3,5;very dark red
34;6;51321;17,13;#ED8E34;;237;142;52;29;78;92;67,7;29,4;60,2;vivid red-orange
34;1;45412;15,16;#BE6524;;190;101;36;25;81;74;52,3;31,2;50;vivid red-orange
34;3;41532;13,86;#7F3F19;;127;63;25;22;80;49;34,3;24,8;34,6;red-orange
34;5;38179;12,74;#431E0F;;67;30;15;17;77;26;16,3;16,4;17,8;dark red-orange
34;4;21024;7,02;#FABE49;;250;190;73;39;70;98;80,5;10,5;64,7;orange
35;6;63994;21,36;#B16422;;177;100;34;27;80;69;50,2;26,2;48,3;vivid red-orange
35;5;58672;19,59;#241208;;36;18;8;21;77;14;7,5;8;8;very dark red-orange
35;2;58238;19,44;#E79239;;231;146;57;30;75;90;67,9;25;58;vivid orange
35;3;52849;17,64;#4B250D;;75;37;13;23;82;29;19,4;15,8;22,9;dark red-orange
35;1;48644;16,24;#7C4014;;124;64;20;25;83;48;34;22,7;36,5;red-orange
35;4;17171;5,73;#F8D369;;248;211;105;44;57;97;85,8;0,8;56,4;orange
36;1;94416;31,52;#702705;;112;39;5;19;95;43;26,5;30,8;35,6;red-orange
36;5;81420;27,18;#481705;;72;23;5;16;93;28;15,5;22,4;21,4;dark red-orange
36;2;71873;23,99;#240F09;;36;15;9;13;75;14;6,7;10;6,5;very dark red
36;3;36442;12,16;#AA4904;;170;73;4;24;97;66;43,2;36,9;52,3;vivid red-orange
36;4;12266;4,09;#FAC50D;;250;197;13;46;94;98;82;5,3;82,2;vivid yellow-orange
36;6;3151;1,05;#B7C2B2;;183;194;178;101;8;76;77,2;-6,7;6,7;pale yellow-green
37;3;71450;23,85;#130301;;19;3;1;6;94;7;1,9;4,5;2,5;very dark red
37;2;55334;18,47;#350E02;;53;14;2;14;96;20;9,6;18,7;14;dark red
37;1;55209;18,43;#C16310;;193;99;16;28;91;75;52,2;33;57,1;vivid red-orange
37;6;48802;16,29;#622204;;98;34;4;19;95;38;22,8;27,6;31,6;red-orange
37;4;46391;15,49;#923E09;;146;62;9;23;93;57;37,1;32,9;44,8;red-orange
37;5;22382;7,47;#F09A2C;;240;154;44;33;81;94;70,7;24,1;66;vivid orange
38;1;82008;27,38;#3D1B0F;;61;27;15;15;75;23;14,5;15,4;15,3;dark red-orange
38;5;81697;27,27;#20120F;;32;18;15;10;53;12;7;6,6;4,1;very dark red
38;6;56166;18,75;#5E290F;;94;41;15;19;84;36;23,7;22,3;27,4;dark red-orange
38;3;35913;11,99;#904814;;144;72;20;25;86;56;38,9;27;42,1;red-orange
38;2;25439;8,49;#D78A33;;215;138;51;31;76;84;64,1;22,4;56,1;vivid orange
38;4;18345;6,12;#F7D169;;247;209;105;43;57;96;85,2;1,4;55,7;orange
39;4;63310;21,13;#1D0E05;;29;14;5;22;82;11;5,3;5,5;6;very dark red-orange
39;5;59896;19,99;#9C5C18;;156;92;24;30;84;61;45,3;21,1;46,8;orange
39;6;51249;17,11;#774112;;119;65;18;27;84;46;33,5;19,8;36,7;red-orange
39;2;51032;17,04;#C17820;;193;120;32;32;83;75;57;22;55,9;vivid orange
39;3;37740;12,6;#EA9C27;;234;156;39;36;83;91;70,5;20,4;67,2;vivid orange
39;1;36341;12,13;#492409;;73;36;9;25;87;28;18,8;15,2;23,8;dark red-orange
40;2;70878;23,66;#28140B;;40;20;11;18;72;15;8,8;9,1;8,8;very dark red-orange
40;6;66463;22,19;#4E2A15;;78;42;21;22;73;30;21,3;14,6;20,6;dark red-orange
40;5;60185;20,09;#AB632A;;171;99;42;26;75;67;49,2;24,5;43,4;vivid red-orange
40;1;54652;18,24;#7C441D;;124;68;29;24;76;48;35;20,8;33,1;red-orange
40;3;38874;12,98;#DB893A;;219;137;58;29;73;85;64,4;24,9;53,5;red-orange
40;4;8516;2,84;#EDC98B;;237;201;139;38;41;92;82,7;4,5;35,7;light orange
41;4;64227;21,44;#120301;;18;3;1;7;94;7;1,8;4,1;2,3;very dark red
41;2;58295;19,46;#331202;;51;18;2;19;96;20;10,1;15,4;14,7;dark red-orange
41;3;52863;17,65;#8B4707;;139;71;7;29;95;54;37,9;25;45,4;red-orange
41;6;49804;16,63;#5C2A03;;92;42;3;26;96;36;23,5;20,4;32,3;dark red-orange
41;1;47256;15,77;#BB710F;;187;113;15;34;92;73;54,5;22,9;58,6;vivid orange
41;5;27123;9,05;#EAAB26;;234;171;38;40;83;91;74;12,4;70,5;vivid orange
42;1;102692;34,31;#32435A;;50;67;90;214;44;35;27,9;0,1;-15,8;dark blue-cyan
42;4;84451;28,22;#251C1D;;37;28;29;353;24;14;11,4;4,6;1;very dark red
42;2;49699;16,61;#6C3B19;;108;59;25;24;76;42;30,4;18,6;29,6;red-orange
42;6;27837;9,3;#BE8027;;190;128;39;35;79;74;58,5;16,6;54,6;vivid orange
42;3;23607;7,89;#F0D850;;240;216;80;51;66;94;86,1;-6,7;67,3;yellow-orange
42;5;11014;3,68;#FBFADA;;251;250;218;58;13;98;97,6;-4,9;15,5;pale yellow-orange
43;1;178032;59,48;#100301;;16;3;1;8;93;6;1,6;3,4;2,1;very dark red
43;3;62030;20,73;#2A0D04;;42;13;4;14;90;16;7,1;14,1;9,3;very dark red
43;6;36894;12,33;#4A1F0A;;74;31;10;19;86;29;17,7;18,9;22,2;dark red-orange
43;2;14254;4,76;#844818;;132;72;24;26;81;51;37,1;21,8;38,1;red-orange
43;4;4334;1,45;#DFB958;;223;185;88;43;60;87;76,7;2,7;53,3;orange
43;5;3756;1,25;#F7F5DE;;247;245;222;55;10;96;96,1;-3,2;11,3;pale yellow-orange
44;1;131867;44,06;#160C08;;22;12;8;17;63;8;4,1;3,2;2,9;very dark red-orange
44;3;69505;23,22;#432511;;67;37;17;24;74;26;18,2;12,1;19;dark red-orange
44;6;35231;11,77;#835626;;131;86;38;31;71;51;40,6;13,9;34,7;orange
44;2;32079;10,72;#D49F56;;212;159;86;34;59;83;69,1;11,7;45,2;orange
44;5;20449;6,83;#314241;;49;66;65;176;25;25;26,5;-7;-1,6;dark cyan
44;4;10169;3,4;#F7F0CE;;247;240;206;49;16;96;94,5;-3,1;17,3;pale yellow-orange
45;2;90696;30,28;#896A56;;137;106;86;23;37;53;47,4;9,4;16;red-orange
45;1;79064;26,4;#683D20;;104;61;32;24;69;40;30,4;15,9;25,5;red-orange
45;4;54451;18,18;#C5A386;;197;163;134;27;32;77;69,3;8,3;19,8;red-orange
45;3;36959;12,34;#2B150B;;43;21;11;18;74;16;9,6;10;10;very dark red-orange
45;5;26877;8,97;#B05511;;176;85;17;25;90;69;46,7;33,4;51,6;vivid red-orange
45;6;11443;3,82;#917B0F;;145;123;15;49;89;56;52,1;-1,9;54,6;yellow-orange
46;2;77190;25,77;#200E03;;32;14;3;22;90;12;5,7;7,1;7,4;very dark red-orange
46;4;74282;24,8;#4D2704;;77;39;4;28;94;30;20,2;15,1;27,7;dark red-orange
46;1;65471;21,86;#824F06;;130;79;6;35;95;51;38,5;16,3;45,6;orange
46;5;48720;16,26;#BE830C;;190;131;12;40;93;74;59,2;14,2;62,8;vivid orange
46;3;29126;9,72;#F1D01F;;241;208;31;50;87;94;83,9;-4;80,5;vivid yellow-orange
46;6;4779;1,6;#FAF699;;250;246;153;57;38;98;95,4;-11,7;45,2;light yellow-orange
47;6;83066;27,74;#513922;;81;57;34;29;58;31;26,1;7,5;18,4;dark red-orange
47;3;65771;21,96;#8E6E53;;142;110;83;27;41;55;48,9;8,9;19,9;red-orange
47;2;58238;19,45;#1A1006;;26;16;6;30;76;10;5,5;2,9;5,8;very dark orange
47;5;35886;11,98;#5A8D90;;90;141;144;183;37;56;55,3;-16,2;-7;cyan
47;4;29140;9,73;#DDB872;;221;184;114;39;48;86;76,6;4,5;40,4;orange
47;1;27389;9,15;#F3E1CA;;243;225;202;33;16;95;90,4;2,5;13,5;pale orange
48;2;76751;25,63;#220901;;34;9;1;14;97;13;4,9;10,3;7,1;very dark red
48;5;61416;20,51;#431202;;67;18;2;14;97;26;13,4;22,7;19,7;dark red
48;6;50663;16,92;#A43908;;164;57;8;18;95;64;39,3;42,3;48,1;red-orange
48;1;48975;16,35;#6D2105;;109;33;5;16;95;42;24,8;32,5;33,9;red-orange
48;4;46221;15,43;#E3671B;;227;103;27;22;88;89;58,1;44,6;60,6;vivid red-orange
48;3;15464;5,16;#FAA350;;250;163;80;29;68;98;74,3;25;55,1;red-orange
49;3;58975;19,69;#1D0902;;29;9;2;15;93;11;4,2;7,3;5,5;very dark red-orange
49;4;54365;18,15;#D18D2B;;209;141;43;35;79;82;64;17,9;58,9;vivid orange
49;6;51099;17,06;#A36017;;163;96;23;31;85;63;47,3;22;49,2;orange
49;2;48139;16,07;#F7BD51;;247;189;81;39;67;96;80;10,2;60,8;orange
49;5;44593;14,89;#441A05;;68;26;5;20;92;26;15,4;18,8;21,1;dark red-orange
49;1;42397;14,15;#6F350B;;111;53;11;25;90;43;29,3;22,9;35,5;red-orange
