#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
477;4;54200;18,09;#E5C7AF;;229;199;175;26;23;89;82,2;6,9;15,9;pale red-orange
477;5;52403;17,49;#231710;;35;23;16;22;54;13;9,1;4,9;6,6;very dark red-orange
477;6;43968;14,68;#6D6561;;109;101;97;20;11;42;43,4;2,4;3,4;pale red-orange
477;1;21286;7,11;#A17B61;;161;123;97;24;39;63;54,7;11,2;19,9;red-orange
478;2;73507;24,54;#6D6A64;;109;106;100;40;8;42;44,9;0;3,8;pale orange
478;6;64799;21,63;#8C857E;;140;133;126;30;10;54;55,9;1,3;4,7;pale orange
478;4;54673;18,25;#3E462A;;62;70;42;77;40;27;28,3;-8,8;15,8;dark yellow-green
478;1;51940;17,34;#F3F6FC;;243;246;252;220;3;98;96,8;0,1;-3,2;white
478;3;44476;14,85;#211D17;;33;29;23;36;30;12;11;0,6;4,8;very dark orange
478;5;10173;3,4;#6C352A;;108;53;42;10;61;42;29,2;23,3;18;red
479;5;76772;25,63;#77665C;;119;102;92;22;22;46;44,5;5;8,2;pale red-orange
479;3;54977;18,35;#584338;;88;67;56;20;36;34;30,3;7,3;10,2;dark red-orange
479;6;51848;17,31;#999089;;153;144;137;26;10;60;60,4;2,1;4,9;pale red-orange
479;1;43035;14,37;#301C16;;48;28;22;13;54;18;12,7;9;8,2;very dark red
479;4;41187;13,75;#C59E8B;;197;158;139;19;29;77;68,2;11,7;15,4;red-orange
479;2;31749;10,6;#E2D8C7;;226;216;199;37;11;88;86,7;0,6;9,6;pale orange
480;2;97193;32,44;#4A515B;;74;81;91;215;18;35;34,2;-0,4;-6,8;dark blue-cyan
480;5;56777;18,95;#9CACCF;;156;172;207;221;24;81;70,2;2,1;-19,6;pale blue-cyan
480;4;53375;17,82;#66778E;;102;119;142;214;28;55;49,5;-0,7;-14,6;blue-cyan
480;1;51635;17,24;#C6D6F1;;198;214;241;217;17;94;85,2;0,1;-15;pale blue-cyan
480;3;27255;9,1;#44557A;;68;85;122;221;44;47;36,2;4;-23;blue-cyan
480;6;13333;4,45;#24212B;;36;33;43;258;23;16;13,5;4;-6,1;very dark blue-violet
481;4;119451;39,87;#ADBDCD;;173;189;205;210;15;80;75,9;-2,2;-9,9;pale blue-cyan
481;6;51321;17,13;#82B3EE;;130;179;238;212;45;93;71,7;-0,8;-34,5;blue-cyan
481;5;37742;12,6;#828080;;130;128;128;0;1;51;53,8;0,7;0,3;grey
481;2;37215;12,42;#A6D0FB;;166;208;251;210;33;98;81,9;-3,8;-25,5;light blue-cyan
481;3;37157;12,4;#BDB4A4;;189;180;164;38;13;74;73,6;0,4;9,3;pale orange
481;1;16682;5,57;#4E4640;;78;70;64;25;17;30;30,3;2,2;4,8;dark red-orange
482;5;73357;24,49;#2B2D2F;;43;45;47;210;8;18;18,3;-0,4;-1,6;very dark blue-cyan
482;2;58819;19,63;#E0E9F3;;224;233;243;211;7;95;92;-1,1;-5,9;white
482;3;52302;17,46;#7F6E60;;127;110;96;27;24;49;47,6;4,3;10,3;pale red-orange
482;6;48631;16,23;#A6BFDB;;166;191;219;211;24;85;76,4;-2,3;-16,8;pale blue-cyan
482;1;35589;11,88;#3D5165;;61;81;101;210;39;39;33,6;-2,1;-14,1;blue-cyan
482;4;30870;10,3;#6887A8;;104;135;168;210;38;65;55,2;-2,4;-21;blue-cyan
483;3;85607;30,01;#826047;;130;96;71;25;45;51;43,6;10,4;19,7;red-orange
483;2;66681;23,37;#758EC5;;117;142;197;221;40;77;59,1;5,2;-31,3;blue-cyan
483;6;54098;18,96;#3A271F;;58;39;31;17;46;22;17,7;7,7;8,8;dark red-orange
483;1;39153;13,72;#717535;;113;117;53;63;54;45;47,6;-11,3;34,3;yellow
483;5;24473;8,58;#912922;;145;41;34;3;76;56;33,4;43,1;29,6;red
483;4;15288;5,36;#CDBAAD;;205;186;173;24;15;80;76,7;4,6;9;pale red-orange
484;3;90341;30,16;#9B9184;;155;145;132;33;14;60;60,7;1,4;8,2;pale orange
484;5;78769;26,29;#5A5142;;90;81;66;37;26;35;34,9;1;10,2;dark orange
484;2;65421;21,84;#302B20;;48;43;32;41;33;18;17,7;0,1;8;very dark orange
484;1;28368;9,47;#CAD4EF;;202;212;239;223;15;93;84,9;2;-14,4;pale blue-cyan
484;4;28000;9,35;#DECDB5;;222;205;181;35;18;87;83,2;2,1;14,1;pale orange
484;6;8669;2,89;#AB6F52;;171;111;82;19;52;67;52,6;20,6;25,9;red-orange
485;5;86480;28,87;#26221A;;38;34;26;40;31;14;13,4;0,2;6,1;very dark orange
485;4;73294;24,46;#565248;;86;82;72;42;16;33;35;-0,3;6,5;dark orange
485;3;56689;18,92;#848178;;132;129;120;45;9;51;54;-0,6;5,3;pale orange
485;1;45493;15,18;#626031;;98;96;49;57;50;38;39,9;-6,6;27;yellow-orange
485;2;31418;10,49;#D9D8DC;;217;216;220;255;1;86;86,5;1,1;-1,8;very light grey
485;6;6218;2,08;#D47671;;212;118;113;3;46;83;60;36,1;19,1;red
486;2;61103;20,4;#C7B199;;199;177;153;31;23;78;73,5;4,1;15,2;pale orange
486;3;58666;19,58;#917A60;;145;122;96;31;33;56;52,7;4,9;17,6;orange
486;4;55783;18,62;#F4E9D8;;244;233;216;36;11;95;92,8;0,9;9,6;pale orange
486;1;49208;16,43;#2C231F;;44;35;31;18;29;17;14,6;3,5;4,3;very dark red-orange
486;6;49201;16,42;#5F4C39;;95;76;57;30;40;37;33,8;5;14,3;dark red-orange
486;5;25607;8,55;#899055;;137;144;85;67;41;56;58;-12,1;30,5;yellow
487;4;81672;27,26;#332B26;;51;43;38;23;25;20;18,2;2,7;4,6;dark red-orange
487;2;61140;20,41;#D1CFC8;;209;207;200;46;4;82;83,1;-0,6;3,7;very light grey
487;1;58745;19,61;#645549;;100;85;73;26;27;39;37,3;4,1;9,3;red-orange
487;3;41966;14,01;#978D85;;151;141;133;26;11;59;59,3;2,3;5,6;pale red-orange
487;5;38135;12,73;#997C50;;153;124;80;36;47;60;53,8;5,3;28,2;orange
487;6;17910;5,98;#622A2C;;98;42;44;357;57;38;25,1;25,6;11;red
488;1;82676;27,6;#28211F;;40;33;31;13;22;15;13,5;2,9;2,6;very dark red
488;6;75139;25,08;#4B4237;;75;66;55;33;26;29;28,6;1,8;8,1;dark orange
488;4;61032;20,37;#E7E2D9;;231;226;217;38;6;90;90;0,1;5;very light grey
488;3;43570;14,54;#6D6C71;;109;108;113;252;4;44;45,9;1,4;-2,6;grey
488;2;29367;9,8;#958066;;149;128;102;33;31;58;54,9;4;17,1;orange
488;5;7784;2,6;#3B3F7A;;59;63;122;236;51;47;29,1;16;-34,3;blue
489;3;76213;25,44;#0C0B08;;12;11;8;45;33;4;3;-0,1;1,2;very dark yellow-orange
489;1;72743;24,28;#392F24;;57;47;36;31;36;22;20,2;2,5;8,8;dark orange
489;2;48148;16,07;#645B51;;100;91;81;31;19;39;39,2;1,8;7,1;pale orange
489;5;46295;15,45;#958067;;149;128;103;32;30;58;54,9;4,1;16,6;orange
489;6;42841;14,3;#664730;;102;71;48;25;52;40;33;10,2;19,1;red-orange
489;4;13379;4,47;#DEDACF;;222;218;207;44;6;87;87,1;-0,5;5,9;very light grey
490;1;74011;24,71;#33302D;;51;48;45;30;11;20;20,1;0,7;2,4;dark red-orange
490;6;72905;24,34;#5D4B3C;;93;75;60;27;35;36;33,3;5,1;11,8;dark red-orange
490;2;61638;20,58;#B1A390;;177;163;144;34;18;69;67,7;1,9;11,7;pale orange
490;4;51373;17,15;#867861;;134;120;97;37;27;52;51,1;1,6;14,6;orange
490;5;20161;6,73;#515B74;;81;91;116;222;30;45;38,7;2,4;-15,4;blue-cyan
490;3;19480;6,5;#CCD5E6;;204;213;230;219;11;90;85,1;0,3;-9,4;pale blue-cyan
491;4;71277;23,81;#4E722C;;78;114;44;90;61;44;44;-25,6;34,1;yellow-green
491;2;63341;21,16;#172617;;23;38;23;120;39;14;13,4;-10,3;8;very dark green
491;1;47431;15,85;#88AA56;;136;170;86;84;49;66;65,5;-25,8;39,3;yellow-green
491;6;45195;15,1;#2E4920;;46;73;32;99;56;28;28;-19,1;21,2;dark yellow-green
491;3;40594;13,56;#C1BDBC;;193;189;188;12;2;75;76,9;1,2;1;light grey
491;5;31462;10,51;#85706C;;133;112;108;9;18;52;49,1;7,5;5,3;pale red
492;2;65530;21,87;#49413F;;73;65;63;12;13;28;28,3;3;2,5;dark red
492;5;63573;21,22;#786B63;;120;107;99;22;17;47;46,2;3,7;6,3;pale red-orange
492;3;55775;18,62;#23242E;;35;36;46;234;23;18;14,5;2,3;-6,7;very dark blue
492;1;44630;14,9;#DCDBD0;;220;219;208;55;5;86;87,2;-1,6;5,5;very light grey
492;4;36479;12,18;#9D9F9B;;157;159;155;90;2;62;65,2;-1,5;1,8;light grey
492;6;33581;11,21;#BFA58D;;191;165;141;28;26;74;69,4;5,8;16;red-orange
493;2;78081;26,06;#7A706A;;122;112;106;22;13;47;48;2,8;4,7;pale red-orange
493;4;61568;20,55;#A59D96;;165;157;150;28;9;64;65,2;1,6;4,7;pale red-orange
493;5;51587;17,22;#1C1911;;28;25;17;43;39;11;8,8;-0,2;5,7;very dark orange
493;3;49278;16,45;#53463C;;83;70;60;26;27;32;30,7;3,7;8,1;dark red-orange
493;1;48016;16,03;#D3D5DC;;211;213;220;226;4;86;85,3;0,6;-3,7;very light grey
493;6;11038;3,68;#4A4E1F;;74;78;31;65;60;30;31,8;-9,3;26,8;dark yellow
494;2;72455;24,19;#62656B;;98;101;107;220;8;42;42,7;0,1;-3,8;pale blue-cyan
494;4;54056;18,04;#A0A8B2;;160;168;178;213;10;69;68,5;-0,8;-6,1;pale blue-cyan
494;3;52807;17,63;#807F81;;128;127;129;270;1;50;53,3;0,8;-1;grey
494;5;52790;17,62;#4D474B;;77;71;75;320;7;30;30,9;3,4;-1,5;dark grey
494;1;43583;14,55;#C1B7AC;;193;183;172;31;10;75;74,9;1,6;6,9;pale orange
494;6;23877;7,97;#CEE5ED;;206;229;237;195;13;92;89,5;-6;-6,5;pale blue-cyan
495;5;83364;27,85;#9F9E93;;159;158;147;55;7;62;64,9;-1,7;5,9;light grey
495;1;82103;27,43;#4E524E;;78;82;78;120;4;32;34,4;-2,5;1,8;dark grey
495;3;57004;19,05;#2A312C;;42;49;44;137;14;19;19,5;-4,2;2,2;very dark blue-green
495;4;48130;16,08;#747B76;;116;123;118;137;5;48;50,9;-3,6;1,8;grey
495;6;15651;5,23;#ABE1ED;;171;225;237;190;27;92;86,3;-14,5;-11,5;light cyan
495;2;13048;4,36;#EAEDE4;;234;237;228;80;3;92;93,3;-2,6;4;very light grey
496;1;76390;25,5;#CDC3B5;;205;195;181;35;11;80;79,2;1,1;8,3;pale orange
496;4;68804;22,97;#8F8374;;143;131;116;33;18;56;55,4;1,9;9,8;pale orange
