#;Space;Channel;Mean;Median;Min;Max;Std
429;HSV;Saturation;12,33;8,55;0;100;12,91
429;HSV;Value;54,46;53,33;0,78;100;25,63
429;Lab;Lightness;55,57;55,93;0,51;100;25,86
429;Lab;Green-Red;-2,54;-2,35;-14,28;25,25;2,5
429;Lab;Blue-Yellow;3,22;3,49;-37,96;32,81;5,21
429;LCH;Lightness;55,57;55,93;0,51;100;25,86
429;LCH;Chroma;5,8;4,98;0;42,25;4,07
429;LCH;Hue;151,03;128,23;0,02;359,93;58,61
430;RGB;Red;115,02;111;5;255;47,42
430;RGB;Green;129,07;128;8;255;52,73
430;RGB;Blue;141,25;147;0;255;67,92
430;HSV;Hue;184,52;210,88;0;358,46;64,05
430;HSV;Saturation;26,2;25,27;0;100;14,07
430;HSV;Value;57,37;58,04;3,53;100;24,05
430;Lab;Lightness;52,54;52,87;2,06;100;20,91
430;Lab;Green-Red;-1,95;-1,7;-14,26;18,66;3,16
430;Lab;Blue-Yellow;-7,66;-11,81;-29,22;33,4;12,44
430;LCH;Lightness;52,54;52,87;2,06;100;20,91
430;LCH;Chroma;13,66;14,37;0;35,23;6,36
430;LCH;Hue;228,27;260,76;0;359,99;68,35
431;RGB;Red;125,39;111;8;255;63,33
431;RGB;Green;121,01;111;13;250;61,99
431;RGB;Blue;117,31;103;2;250;62,48
431;HSV;Hue;130,13;111,43;0;359,27;108,09
431;HSV;Saturation;20,09;17,58;0;96,67;15,57
431;HSV;Value;52;49,41;6,67;100;23,44
431;Lab;Lightness;50,2;46,89;3,43;98,22;24,26
431;Lab;Green-Red;1,48;0,99;-19,09;36,83;7,21
431;Lab;Blue-Yellow;2,96;2,73;-26,77;55,58;8,8
431;LCH;Lightness;50,2;46,89;3,43;98,22;24,26
431;LCH;Chroma;9,46;7,36;0;55,61;7,14
431;LCH;Hue;153,6;115,15;0;360;102,34
432;RGB;Red;138,05;137;0;255;64,95
432;RGB;Green;131,03;126;0;255;63,31
432;RGB;Blue;121,89;114;0;255;65,35
432;HSV;Hue;67,99;28,97;0;359,43;80,78
432;HSV;Saturation;17,09;15,79;0;100;12,93
432;HSV;Value;55,42;54,51;3,92;100;24,69
432;Lab;Lightness;54,15;53,36;1,8;100;24,7
432;Lab;Green-Red;1,13;1,69;-35,04;71,48;6,84
432;Lab;Blue-Yellow;6,17;6,52;-44,09;75,42;6,53
432;LCH;Lightness;54,15;53,36;1,8;100;24,7
432;LCH;Chroma;8,69;8,17;0;85,22;7,29
432;LCH;Hue;111,18;84,2;0;360;72,05
433;RGB;Red;156,22;161;0;255;56,05
433;RGB;Green;140,87;133;0;255;64,82
433;RGB;Blue;124,49;105;0;251;73,99
433;HSV;Hue;65,29;32,73;0;358,78;66,52
433;HSV;Saturation;29,16;32,12;0;100;23,94
433;HSV;Value;61,84;63,14;0;100;22,26
433;Lab;Lightness;58,67;57,23;0;99,9;24,51
433;Lab;Green-Red;3,91;2,63;-21,58;35,41;5,9
433;Lab;Blue-Yellow;11,67;14,36;-5,98;40,89;9,8
433;LCH;Lightness;58,67;57,23;0;99,9;24,51
433;LCH;Chroma;13,56;15,7;0;45,53;9,93
433;LCH;Hue;107,95;78,05;0;359,93;66,26
434;RGB;Red;138,86;142;8;255;39,62
434;RGB;Green;108,12;101;1;252;39,84
434;RGB;Blue;86,17;77;0;246;41,69
434;HSV;Hue;35,11;25,95;0;358,67;42,92
434;HSV;Saturation;38,51;38,14;0;100;20,12
434;HSV;Value;54,64;56,08;3,14;100;15,56
434;Lab;Lightness;47,97;46,19;0,66;98,37;15,24
434;Lab;Green-Red;9,73;6,5;-22,98;34,45;8,73
434;Lab;Blue-Yellow;17,14;15,59;-20,9;78,32;12,16
434;LCH;Lightness;47,97;46,19;0,66;98,37;15,24
434;LCH;Chroma;20,77;18,16;0;78,51;13,45
434;LCH;Hue;71,38;63,62;0,01;359,99;40,87
435;RGB;Red;94,55;82;0;255;54,94
435;RGB;Green;94,89;73;0;255;62,61
435;RGB;Blue;91,92;68;0;255;63,94
435;HSV;Hue;108,51;48;0;357,86;95,37
435;HSV;Saturation;20,6;20,66;0;100;9,37
435;HSV;Value;40,89;32,94;0;100;25,45
435;Lab;Lightness;39,07;31,76;0;100;24,1
435;Lab;Green-Red;-0,03;0,44;-27,24;21,23;5,26
435;Lab;Blue-Yellow;1,88;2,63;-28,41;48,4;8,55
435;LCH;Lightness;39,07;31,76;0;100;24,1
435;LCH;Chroma;8,33;6,76;0;55,54;5,92
435;LCH;Hue;143,34;98,01;0;359,99;94,36
436;RGB;Red;134,83;147;0;255;111,63
436;RGB;Green;113,55;81;0;255;106,67
436;RGB;Blue;94,16;35;0;255;108,57
436;HSV;Hue;54,91;24,44;0;359,05;89,02
436;HSV;Saturation;42,22;54,55;0;100;33,72
436;HSV;Value;53,1;57,65;0;100;43,52
436;Lab;Lightness;46,97;41,79;0;100;42,29
436;Lab;Green-Red;6,85;0,89;-32,62;46,34;10,19
436;Lab;Blue-Yellow;13,67;0;-15,59;76,84;22,21
436;LCH;Lightness;46,97;41,79;0;100;42,29
436;LCH;Chroma;15,94;2,04;0;76,87;24,02
436;LCH;Hue;133,88;158,2;0;359,89;83,77
437;RGB;Red;114,28;124;4;255;51,79
437;RGB;Green;108,24;111;2;255;55,58
437;RGB;Blue;118,56;121;5;255;59,67
437;HSV;Hue;240,77;240;0;358,85;88,52
437;HSV;Saturation;18,2;16,3;0;66,42;12,14
437;HSV;Value;49,78;54,12;1,96;100;23,29
437;Lab;Lightness;45,81;47,8;0,72;100;22,24
437;Lab;Green-Red;4,9;1,9;-30,31;40,29;9,62
437;Lab;Blue-Yellow;-4,27;-2,8;-40,66;23,65;7,12
437;LCH;Lightness;45,81;47,8;0,72;100;22,24
437;LCH;Chroma;10,43;8,01;0;45,85;8,76
437;LCH;Hue;227,76;275,28;0;360;116,21
438;RGB;Red;186,29;198;0;255;62,82
438;RGB;Green;162,55;159;0;255;75,33
438;RGB;Blue;139,49;120;0;255;88,31
438;HSV;Hue;48,42;33,1;0;359,61;66,08
438;HSV;Saturation;32,98;32,37;0;100;28,41
438;HSV;Value;73,07;77,65;0;100;24,63
438;Lab;Lightness;67,47;67,89;0;100;27,52
438;Lab;Green-Red;6,57;3,88;-18,43;66,44;7,61
438;Lab;Blue-Yellow;16,36;17,72;-4,32;52,9;13,98
438;LCH;Lightness;67,47;67,89;0;100;27,52
438;LCH;Chroma;18,02;18,69;0;79,39;15,48
438;LCH;Hue;91,87;77,45;0;359,91;59,88
439;RGB;Red;128,06;129;0;255;51,78
439;RGB;Green;124,88;127;0;255;49,38
439;RGB;Blue;119,26;121;0;255;56,98
439;HSV;Hue;134,06;96,92;0;359,31;109,21
439;HSV;Saturation;16,27;9,38;0;100;17,75
439;HSV;Value;52,41;52,94;0;100;20,52
439;Lab;Lightness;51,86;53,99;0;100;19,99
439;Lab;Green-Red;0,36;0,53;-31,05;43,36;7,91
439;Lab;Blue-Yellow;3,9;2,07;-47,87;60,2;8,91
439;LCH;Lightness;51,86;53,99;0;100;19,99
439;LCH;Chroma;8,8;5,31;0;60,21;8,94
439;LCH;Hue;156,82;127,85;0;360;104,44
440;RGB;Red;121,34;114;20;255;50,55
440;RGB;Green;121,7;110;23;255;56,77
440;RGB;Blue;117,49;103;19;255;60,58
440;HSV;Hue;114,02;70;0;358,72;93,37
440;HSV;Saturation;17,18;14,62;0;65,62;11,82
440;HSV;Value;51,03;46,67;9,8;100;22,15
440;Lab;Lightness;50,21;46,77;7,96;100;21,57
440;Lab;Green-Red;-0,35;0,01;-16,44;20,91;4,7
440;Lab;Blue-Yellow;2,62;1,12;-29,09;31,74;8,22
440;LCH;Lightness;50,21;46,77;7,96;100;21,57
440;LCH;Chroma;8;6,63;0;32,45;5,71
440;LCH;Hue;150,96;138,62;0;359,99;86,58
441;RGB;Red;127,72;138;5;247;40,97
441;RGB;Green;127,57;138;8;255;42,32
441;RGB;Blue;121,41;131;6;255;42,24
441;HSV;Hue;87,31;60;0;358,33;68,51
441;HSV;Saturation;11,54;8,7;0;78,33;9,92
441;HSV;Value;51,57;55,29;3,53;100;16,08
441;Lab;Lightness;52,73;57,3;2,35;99,17;17,05
441;Lab;Green-Red;-0,94;-1,31;-27,18;24,96;3,4
441;Lab;Blue-Yellow;3,47;3,84;-16,18;27,79;4,14
441;LCH;Lightness;52,73;57,3;2,35;99,17;17,05
441;LCH;Chroma;5,61;5,13;0;34,73;3,18
441;LCH;Hue;124,07;109,52;0,01;360;59,01
442;RGB;Red;153,18;187;0;255;89,32
442;RGB;Green;151,37;185;0;255;89,31
442;RGB;Blue;154,14;188;0;255;89,2
442;HSV;Hue;263,53;280;0;330;63,82
442;HSV;Saturation;9,38;1,6;0;100;20,6
442;HSV;Value;60,45;73,73;0;100;34,98
442;Lab;Lightness;60,85;75,39;0;100;35,36
442;Lab;Green-Red;1,16;1,22;-0,51;2,5;0,38
442;Lab;Blue-Yellow;-1,19;-1,23;-2,46;0,48;0,36
442;LCH;Lightness;60,85;75,39;0;100;35,36
442;LCH;Chroma;1,66;1,74;0;3,39;0,52
442;LCH;Hue;305,26;314,72;0;343,72;36,7
443;RGB;Red;109,18;86;0;255;67,3
443;RGB;Green;122;98;0;255;71,12
443;RGB;Blue;132,29;108;0;255;81,81
443;HSV;Hue;144,49;206,88;0;354,55;81,82
443;HSV;Saturation;22,69;15,91;0;100;17,36
443;HSV;Value;53,51;45,49;0;100;30,72
443;Lab;Lightness;49,2;41,17;0;100;27,9
443;Lab;Green-Red;-1,54;-1,31;-9,79;6,52;1,99
443;Lab;Blue-Yellow;-6,47;-3,5;-35,53;25,7;12,39
443;LCH;Lightness;49,2;41,17;0;100;27,9
443;LCH;Chroma;10,95;6,93;0;35,56;9,05
443;LCH;Hue;192,86;254,66;0;359,98;82,67
444;RGB;Red;128,04;138;0;255;58,12
444;RGB;Green;129,52;135;0;255;52,91
444;RGB;Blue;123,49;112;0;255;61,23
444;HSV;Hue;146,59;214,15;0;359,49;88,18
444;HSV;Saturation;29,3;26,44;0;100;20,48
444;HSV;Value;57,49;62,75;0;100;21,97
444;Lab;Lightness;53,42;56,12;0;100;21,21
444;Lab;Green-Red;0,24;0,5;-33,72;52,73;4,08
444;Lab;Blue-Yellow;3,33;-2,92;-48,63;51,17;21,29
444;LCH;Lightness;53,42;56,12;0;100;21,21
444;LCH;Chroma;17,43;10,07;0;64,46;13,31
444;LCH;Hue;195,22;265,83;0;359,98;91,25
445;RGB;Red;123,87;124;3;255;26,56
445;RGB;Green;139,48;142;0;255;29,38
445;RGB;Blue;142,93;105;0;255;77,18
445;HSV;Hue;119,85;68,57;0;352,5;76,42
445;HSV;Saturation;39,31;41,35;0;100;14,55
445;HSV;Value;66,59;58,43;1,18;100;23,27
445;Lab;Lightness;57,29;58,39;0,17;100;11,65
445;Lab;Green-Red;-1,34;-3,29;-14,21;12,45;6,24
445;Lab;Blue-Yellow;-2,25;12,49;-54,92;44,8;32,25
445;LCH;Lightness;57,29;58,39;0,17;100;11,65
445;LCH;Chroma;29,9;29,12;0;56,26;13,87
445;LCH;Hue;170,39;113,89;8,09;353,9;82,32
446;RGB;Red;118,97;108;0;253;55,51
446;RGB;Green;126,3;123;0;251;52,75
446;RGB;Blue;125,93;129;0;248;56,1
446;HSV;Hue;144,49;198,46;0;357,39;77,47
446;HSV;Saturation;20,41;19,72;0;100;11,96
446;HSV;Value;53,03;53,73;0;99,22;21,45
446;Lab;Lightness;51,58;50,77;0;98,54;21,14
446;Lab;Green-Red;-2,27;-2,27;-20,12;36,22;2,5
446;Lab;Blue-Yellow;-0,56;-3,12;-30,34;31,88;10,54
446;LCH;Lightness;51,58;50,77;0;98,54;21,14
446;LCH;Chroma;9,29;8,67;0;37,89;6,03
446;LCH;Hue;187,27;234,28;0;359,92;75,25
447;RGB;Red;91,17;84;0;255;57,22
447;RGB;Green;88,3;76;0;255;62,99
447;RGB;Blue;85,17;65;0;255;75,02
447;HSV;Hue;117,78;74,55;0;359,67;97,9
447;HSV;Saturation;36,65;28,36;0;100;24,44
447;HSV;Value;40,78;36,08;0;100;27,11
447;Lab;Lightness;36,77;33,04;0;100;25,32
447;Lab;Green-Red;1,59;1,45;-42,55;62,5;7,31
447;Lab;Blue-Yellow;2,91;2,69;-65,69;62,92;14,31
447;LCH;Lightness;36,77;33,04;0;100;25,32
447;LCH;Chroma;13,44;11,85;0;80,68;9,42
447;LCH;Hue;157,85;117,82;0;360;102,08
448;RGB;Red;122,23;124;0;255;55,56
448;RGB;Green;119,55;122;0;255;55,41
448;RGB;Blue;125,95;129;0;255;54,01
448;HSV;Hue;209,55;225,88;0;358,93;96,31
448;HSV;Saturation;12,65;8,25;0;100;12,18
448;HSV;Value;50,81;52,16;1,18;100;21,21
448;Lab;Lightness;49,8;51,94;0,12;100;22,06
448;Lab;Green-Red;2,51;1,28;-15,66;45,11;5,58
448;Lab;Blue-Yellow;-3,14;-3,14;-17,92;36,16;3,9
448;LCH;Lightness;49,8;51,94;0,12;100;22,06
448;LCH;Chroma;5,9;4,59;0;47,35;5,26
448;LCH;Hue;244,71;278,01;0;360;95,84
449;RGB;Red;153,01;148;0;255;78,98
449;RGB;Green;148,03;142;0;255;79,43
449;RGB;Blue;145,59;136;0;255;80,63
449;HSV;Hue;117,76;66,32;0;359,2;122,53
449;HSV;Saturation;10,87;7,41;0;100;11,64
449;HSV;Value;61,13;60;0,39;100;30,77
449;Lab;Lightness;60,17;60,32;0,25;100;30,77
449;Lab;Green-Red;1,57;0;-22,24;65,77;7,78
449;Lab;Blue-Yellow;2,17;0;-15,1;40,49;5,9
449;LCH;Lightness;60,17;60,32;0,25;100;30,77
449;LCH;Chroma;6,07;3,05;0;66,7;8,1
449;LCH;Hue;154,07;158,2;0;360;95,23
450;RGB;Red;119,03;120;0;255;66,49
450;RGB;Green;112,71;108;0;255;69,04
450;RGB;Blue;106,79;98;0;255;74,18
450;HSV;Hue;74,5;40;0;359,27;78,61
450;HSV;Saturation;19,61;13,21;0;100;16,77
450;HSV;Value;47,89;47,06;0;100;27,64
450;Lab;Lightness;46,62;46,13;0;100;27,25
450;Lab;Green-Red;1,62;0,61;-27,98;43,41;5,98
450;Lab;Blue-Yellow;4,69;4,39;-26,86;63,59;6,79
450;LCH;Lightness;46,62;46,13;0;100;27,25
450;LCH;Chroma;7,74;5,82;0;63,61;6,83
450;LCH;Hue;118,65;89,36;0;359,99;78,91
451;RGB;Red;110,75;112;0;255;59,81
451;RGB;Green;98,17;87;0;255;65
451;RGB;Blue;91,69;68;0;255;73,72
451;HSV;Hue;91,75;31,3;0;359,51;100,9
451;HSV;Saturation;37,56;32,04;0;100;21,89
451;HSV;Value;47,6;46,27;0;100;27,1
451;Lab;Lightness;41,6;39,95;0;100;25,89
451;Lab;Green-Red;5,46;3,89;-27,64;53,88;7,03
451;Lab;Blue-Yellow;6,37;8,1;-44,59;77,57;15,19
451;LCH;Lightness;41,6;39,95;0;100;25,89
451;LCH;Chroma;15,74;14,61;0;77,66;10,14
451;LCH;Hue;124,27;72,49;0;360;99,54
452;RGB;Red;123,49;129;0;255;60,06
452;RGB;Green;119,3;118;3;255;57,2
452;RGB;Blue;107,68;103;0;255;61,19
452;HSV;Hue;81,6;38,06;0;358,54;84,42
452;HSV;Saturation;20,16;15,15;0;100;16,69
452;HSV;Value;50,07;50,98;1,96;100;23,22
452;Lab;Lightness;49,29;50,18;0,94;100;23,06
452;Lab;Green-Red;-0,27;1,14;-38,42;35,45;5,89
452;Lab;Blue-Yellow;7,01;5,99;-31,25;89,96;10,61
452;LCH;Lightness;49,29;50,18;0,94;100;23,06
452;LCH;Chroma;9,65;7,16;0;92,26;10,16
452;LCH;Hue;117,72;85,74;0;360;78,53
453;RGB;Red;113,91;112;28;255;35,24
453;RGB;Green;100,19;98;23;243;33,03
453;RGB;Blue;91,98;90;19;229;31,6
453;HSV;Hue;26,76;22,86;0;358,67;33,14
453;HSV;Saturation;19,92;19,79;0;63,24;7,75
453;HSV;Value;44,68;43,92;10,98;100;13,82
453;Lab;Lightness;43,14;42,76;8,22;96,4;13,56
453;Lab;Green-Red;4,06;3,73;-5,28;18,61;3,06
453;Lab;Blue-Yellow;6,69;6,61;-3,42;27,4;3,08
453;LCH;Lightness;43,14;42,76;8,22;96,4;13,56
453;LCH;Chroma;8,23;7,89;0;27,43;3,49
453;LCH;Hue;62,58;60,1;0;359,99;31,41
454;RGB;Red;108,33;95;0;255;67,69
454;RGB;Green;106,45;90;0;255;68,54
454;RGB;Blue;117,12;102;0;255;66,31
454;HSV;Hue;219,77;240;0;359,12;93,88
454;HSV;Saturation;17,86;14,29;0;100;13,78
454;HSV;Value;47,21;41,57;0,39;100;26,08
454;Lab;Lightness;44,2;39;0,2;100;26,66
454;Lab;Green-Red;3,51;3,65;-26,55;39,76;4,52
454;Lab;Blue-Yellow;-5,81;-4,76;-54,35;39,15;8,14
454;LCH;Lightness;44,2;39;0,2;100;26,66
454;LCH;Chroma;8,79;7,66;0;64,81;7,45
454;LCH;Hue;240,78;288,96;0;360;102,39
455;RGB;Red;50,16;30;0;255;51,27
455;RGB;Green;45,7;26;0;255;49,28
455;RGB;Blue;42,94;25;0;255;45,63
455;HSV;Hue;117,45;58,33;0;358,88;116,9
455;HSV;Saturation;21,75;18,18;0;100;17,82
455;HSV;Value;20,14;12,16;0;100;19,95
455;Lab;Lightness;18,44;9,84;0;100;20,7
455;Lab;Green-Red;1,53;0,42;-14,19;68,17;3,53
455;Lab;Blue-Yellow;2,38;0,85;-32,78;40,42;5,51
455;LCH;Lightness;18,44;9,84;0;100;20,7
455;LCH;Chroma;4,45;2,24;0;74,29;5,58
455;LCH;Hue;155,64;110,17;0;360;105,49
456;RGB;Red;100,85;96;0;255;65,48
456;RGB;Green;107,18;103;0;255;63,57
456;RGB;Blue;96,63;89;0;255;71,86
456;HSV;Hue;117,37;94,29;0;357;72,13
456;HSV;Saturation;24,66;16,42;0;100;23,15
456;HSV;Value;42,94;41,57;0;100;25,44
456;Lab;Lightness;43,18;42,64;0;100;26,04
456;Lab;Green-Red;-4,55;-2,47;-27,36;26,68;5,9
456;Lab;Blue-Yellow;5,48;2,87;-24,66;39,52;8,4
456;LCH;Lightness;43,18;42,64;0;100;26,04
456;LCH;Chroma;9,09;5,8;0;47,49;8,56
456;LCH;Hue;155,62;131,27;0;359,96;69,7
457;RGB;Red;134,36;144;0;255;80,77
457;RGB;Green;128,95;129;0;255;77,59
457;RGB;Blue;122,84;119;0;255;76,01
457;HSV;Hue;106,79;45;0;359,24;96,67
457;HSV;Saturation;18,03;14,75;0;100;13,51
457;HSV;Value;54,58;57,25;0;100;31,53
457;Lab;Lightness;52,58;54,66;0;100;31,06
457;Lab;Green-Red;1,12;0,69;-35,04;44,11;5,31
457;Lab;Blue-Yellow;4,01;4,48;-54,6;75,92;8,4
457;LCH;Lightness;52,58;54,66;0;100;31,06
457;LCH;Chroma;8,21;7,12;0;76,92;6,97
457;LCH;Hue;144,2;96,53;0;360;92,19
458;RGB;Red;141,68;161;0;255;71,77
458;RGB;Green;146,73;163;0;255;74,11
458;RGB;Blue;145,4;155;0;255;79,01
458;HSV;Hue;148,76;200;0;358,46;89
458;HSV;Saturation;18,93;16,67;0;100;13,99
458;HSV;Value;61,31;67,06;1,18;100;30,32
458;Lab;Lightness;59;66,92;0,57;100;29,41
458;Lab;Green-Red;-1,57;-1,18;-21,73;44,6;3,71
458;Lab;Blue-Yellow;0,31;-0,94;-47,61;47,32;11,81
458;LCH;Lightness;59;66,92;0,57;100;29,41
458;LCH;Chroma;10,01;9,04;0;53,23;7,46
458;LCH;Hue;193,19;235,9;0,01;359,99;85,11
459;RGB;Red;156,41;153;0;255;71,64
459;RGB;Green;152,53;138;0;255;78,45
459;RGB;Blue;151,54;132;0;255;85,25
459;HSV;Hue;113,32;60;0;359,48;95,14
459;HSV;Saturation;13,73;7,01;0;100;14,97
459;HSV;Value;63,79;60,39;0;100;30,53
459;Lab;Lightness;62,06;58,11;0;99,98;29,6
459;Lab;Green-Red;1,66;-0,2;-27,03;50,3;6,89
459;Lab;Blue-Yellow;1,73;1,9;-43;56,51;7,04
459;LCH;Lightness;62,06;58,11;0;99,98;29,6
459;LCH;Chroma;6,73;4,71;0;56,62;7,59
459;LCH;Hue;152,32;104,31;0;360;95,87
460;RGB;Red;119,81;117;0;255;70,64
460;RGB;Green;110,49;107;0;255;68,24
460;RGB;Blue;100,79;94;0;255;64,25
460;HSV;Hue;81,39;36;0;359,59;95,97
460;HSV;Saturation;20,24;18,4;0;100;13,33
460;HSV;Value;47,53;46,27;0,39;100;27,67
460;Lab;Lightness;45,75;45,8;0,02;100;27,54
460;Lab;Green-Red;2,15;1,56;-21,42;73,66;5,21
460;Lab;Blue-Yellow;6,67;5,51;-28,18;48;7,88
460;LCH;Lightness;45,75;45,8;0,02;100;27,54
460;LCH;Chroma;8,94;6,56;0;85,62;7,64
460;LCH;Hue;114,11;82,19;0;359,99;88,14
461;RGB;Red;109,48;102;0;255;61,49
461;RGB;Green;103,79;96;0;255;65,85
461;RGB;Blue;101,96;95;0;255;68,56
461;HSV;Hue;105,09;40;0;359,27;108,63
461;HSV;Saturation;15,4;6,85;0;100;18,87
461;HSV;Value;43,91;40,39;0;100;25,44
461;Lab;Lightness;43,31;41,12;0;100;25,53
461;Lab;Green-Red;2,24;0,41;-7,72;37,3;6,33
461;Lab;Blue-Yellow;2,28;0,55;-12,66;46,49;5,27
461;LCH;Lightness;43,31;41,12;0;100;25,53
461;LCH;Chroma;5,15;2,53;0;46,81;7,18
461;LCH;Hue;151,34;110,08;0;359,99;99,85
462;RGB;Red;121,6;111;1;255;69,13
462;RGB;Green;115,05;100;0;255;67,37
462;RGB;Blue;113,55;97;0;255;63,65
462;HSV;Hue;123,36;48;0;358,75;116,94
462;HSV;Saturation;13,21;10,64;0;100;10,52
462;HSV;Value;48,71;43,92;1,96;100;26,32
462;Lab;Lightness;47,65;43,38;0,16;100;26,74
462;Lab;Green-Red;2,49;1,66;-8,88;31,4;3,44
462;Lab;Blue-Yellow;1,54;1,37;-13,9;30,07;5,58
462;LCH;Lightness;47,65;43,38;0,16;100;26,74
462;LCH;Chroma;5,6;4,29;0;40,93;4,49
462;LCH;Hue;155,82;98,62;0;359,99;114,46
463;RGB;Red;61,59;16;0;255;79,07
463;RGB;Green;58,5;18;0;255;74,59
463;RGB;Blue;56,56;23;0;255;68,85
463;HSV;Hue;111,71;45;0;359,64;118,02
463;HSV;Saturation;29,83;20,28;0;100;28,35
463;HSV;Value;25,85;10,2;0;100;30,7
463;Lab;Lightness;23,76;5,68;0;100;30,58
463;Lab;Green-Red;1,26;0,53;-17,69;66,43;4,11
463;Lab;Blue-Yellow;1,45;0;-61,14;47,45;8,78
463;LCH;Lightness;23,76;5,68;0;100;30,58
463;LCH;Chroma;5,76;3,63;0;78,63;8,03
463;LCH;Hue;166,45;144,38;0;359,99;105,76
464;RGB;Red;106,08;116;0;253;60,08
464;RGB;Green;93,68;96;0;255;59,58
464;RGB;Blue;82,46;77;0;255;60,53
464;HSV;Hue;57,73;30,88;0;358,33;76,98
464;HSV;Saturation;32,29;28,43;0;100;19,28
464;HSV;Value;42,89;45,49;0;100;25,55
464;Lab;Lightness;39,57;42,42;0;98,94;24,55
464;Lab;Green-Red;3,47;2,42;-9,95;33,61;4,29
464;Lab;Blue-Yellow;8,34;8,58;-29,34;43,08;9,53
464;LCH;Lightness;39,57;42,42;0;98,94;24,55
464;LCH;Chroma;11,37;10,01;0;48,47;7,85
464;LCH;Hue;96,81;73,68;0;359,93;74,93
465;RGB;Red;92,06;88;0;255;44,49
465;RGB;Green;97,89;100;0;252;57,11
465;RGB;Blue;113,85;97;0;255;79,46
465;HSV;Hue;165,92;211,64;0;358,97;116,89
465;HSV;Saturation;37,72;38,77;0;100;15,13
465;HSV;Value;49,77;45,49;0;100;28,47
465;Lab;Lightness;40,8;43,13;0;98,71;22,93
465;Lab;Green-Red;3,64;3,37;-16,91;28,53;5,21
465;Lab;Blue-Yellow;-8,06;0,74;-51,95;52,51;20,11
465;LCH;Lightness;40,8;43,13;0;98,71;22,93
465;LCH;Chroma;18,8;13,19;0;54,74;12,5
465;LCH;Hue;168,53;121,6;0;360;114,24
466;RGB;Red;122,9;126;3;255;61,68
466;RGB;Green;112,27;113;3;255;53,45
466;RGB;Blue;91,26;89;0;255;53,2
466;HSV;Hue;65,33;47,59;0;359,43;57,65
466;HSV;Saturation;35,1;35,37;0;100;19,6
466;HSV;Value;49,94;50,59;1,18;100;22,98
466;Lab;Lightness;47,03;48,69;0,82;100;21,96
466;Lab;Green-Red;1,15;-0,49;-18,64;46,73;7,83
466;Lab;Blue-Yellow;13,22;13,81;-29,07;52,99;12,49
466;LCH;Lightness;47,03;48,69;0,82;100;21,96
466;LCH;Chroma;17,18;15,68;0;53,9;9,9
466;LCH;Hue;108,96;96,48;0;359,96;59,17
467;RGB;Red;123,72;120;0;255;65,88
467;RGB;Green;115,09;105;0;255;63,11
467;RGB;Blue;111,17;97;8;255;60,07
467;HSV;Hue;98,58;35;0;359,03;99,03
467;HSV;Saturation;19,89;17,2;0;100;14,51
467;HSV;Value;50,22;47,84;3,14;100;24,79
467;Lab;Lightness;48,02;45,85;0,26;100;25,15
467;Lab;Green-Red;3,01;1,66;-32,65;28,12;5,11
467;Lab;Blue-Yellow;3,33;2,98;-25,93;32,8;7,45
467;LCH;Lightness;48,02;45,85;0,26;100;25,15
467;LCH;Chroma;8,11;6,79;0;42,03;6,01
467;LCH;Hue;131,86;80,88;0;359,99;98,14
468;RGB;Red;159,56;160;0;255;53,35
468;RGB;Green;158,51;161;0;255;56,84
468;RGB;Blue;155,43;158;0;255;62,93
468;HSV;Hue;124,45;110;0;358,85;88,2
468;HSV;Saturation;10,78;5,81;0;100;10,84
468;HSV;Value;64,49;64,31;0;100;21,74
468;Lab;Lightness;64,57;66,09;0;100;21,81
468;Lab;Green-Red;0,01;0;-7,44;26,31;2,09
468;Lab;Blue-Yellow;2,06;0,99;-18,07;19,71;5,88
468;LCH;Lightness;64,57;66,09;0;100;21,81
468;LCH;Chroma;5,34;4,19;0;28,95;3,83
468;LCH;Hue;167,95;144,42;0;359,86;85,32
469;RGB;Red;102,64;89;0;255;80,68
469;RGB;Green;111,77;103;0;255;79,93
469;RGB;Blue;120,68;118;0;255;85,33
469;HSV;Hue;189,4;208,42;0;350;44,81
469;HSV;Saturation;25,33;21,19;0;100;18,53
469;HSV;Value;47,79;46,67;0;100;33,08
469;Lab;Lightness;44,68;42,96;0;100;32,42
469;Lab;Green-Red;-1,22;-1,22;-13,47;7,56;1,88
469;Lab;Blue-Yellow;-5,96;-5,61;-30,18;20,65;6,49
469;LCH;Lightness;44,68;42,96;0;100;32,42
469;LCH;Chroma;7,44;6,35;0;31,11;5,23
469;LCH;Hue;231,91;256,43;0;359,78;51,43
470;RGB;Red;128,06;134;0;255;47,77
470;RGB;Green;149,35;161;8;255;52,38
470;RGB;Blue;159,86;176;0;255;78,93
470;HSV;Hue;167,99;210;0;358,55;65,79
470;HSV;Saturation;32,67;31,82;0;100;17,26
470;HSV;Value;66,95;70,98;3,14;100;25,77
470;Lab;Lightness;59,98;65,56;2,17;100;20,8
470;Lab;Green-Red;-4,29;-2,68;-32;36,81;4,81
470;Lab;Blue-Yellow;-7,13;-13,92;-38,75;60,16;19,01
470;LCH;Lightness;59,98;65,56;2,17;100;20,8
470;LCH;Chroma;19,16;17,61;0;62,6;9,3
470;LCH;Hue;214,86;258,22;0,03;359,95;69,11
471;RGB;Red;116,49;114;0;255;57,51
471;RGB;Green;106,01;116;0;255;50,5
471;RGB;Blue;111,3;105;0;255;65,01
