#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
295;108,5;115,1;110,6;120,4;25,7;49,2;47,2;12,1;#414A38;27,54;dark yellow-green;#626E7A;21,02;pale blue-cyan;#A6A39D;18,36;light grey;#76634E;14,39;orange;#B4DCF3;10,8;light blue-cyan
296;42,8;50,8;70,7;206,4;57,8;29,6;21;16,7;#10182B;31,47;very dark blue-cyan;#19335E;29,92;dark blue-cyan;#04050B;15,96;very dark blue;#4F5060;11,61;dark blue;#927F7B;6,53;pale red
297;106,3;106,3;108,6;124,1;18,9;45,8;43,7;7;#151515;23,76;black;#BCBABA;21,13;light grey;#75706C;18,74;grey;#8BA0B8;16,45;pale blue-cyan;#393C42;11,86;dark blue-cyan
298;143;113,2;86,7;74,3;44,7;57,3;49,5;24,6;#905324;26,58;red-orange;#D9E3E2;21,85;very light grey;#383734;18,09;very dark grey;#683E1E;16,36;red-orange;#BA7639;12,69;red-orange
299;79,3;138,7;182,7;206,3;56,5;72;55,4;30,7;#45617D;36,72;blue-cyan;#52ABE7;31,01;blue-cyan;#176EC2;11,2;vivid blue-cyan;#69D5F9;10,74;blue-cyan;#C6CACB;6,89;very light grey
300;102,6;100,5;98,3;102;12,2;41,9;41,6;5,2;#413F3A;30,08;dark orange;#5F5A55;19,93;dark orange;#272523;17,53;very dark orange;#B3B4BA;12;light grey;#878586;11,84;grey
301;100;101,6;104;153,4;12,5;41,8;41,5;3,8;#161919;28,36;very dark cyan;#A6A5A7;22,99;light grey;#7F7F84;16,43;grey;#424444;15,17;dark grey;#D4CFCC;9,62;very light grey
302;106,2;123,4;154,4;216,7;32,9;60,6;50,7;18,9;#849BC7;24,47;blue-cyan;#A5B9E4;22,76;light blue-cyan;#43536C;17,55;blue-cyan;#243140;15,15;dark blue-cyan;#677592;12,45;blue-cyan
303;99,1;106,8;117,8;194,2;31,3;48,3;43,8;12,8;#738193;24,72;pale blue-cyan;#C1CAD9;23,82;pale blue-cyan;#323D50;23,03;dark blue-cyan;#161C19;13,03;very dark blue-green;#323F28;12,37;dark yellow-green
304;131,2;144;147,3;165,7;15,2;58,6;58,4;6,9;#838B8A;28,82;grey;#9AA4A4;23,95;light grey;#5A686B;18,13;pale cyan;#CDDBE3;13,41;pale blue-cyan;#6B8498;10,29;blue-cyan
305;100;110,3;108,2;125,8;22,3;46,4;44,7;10,9;#3B4331;20,6;dark yellow-green;#A1BFD9;20,41;light blue-cyan;#262922;19,4;very dark yellow-green;#676553;19,05;pale yellow-orange;#6F7E88;12,76;pale blue-cyan
306;149,5;150,6;150,6;119,2;7,7;60,8;61,8;3,4;#BEBBB8;41,3;light grey;#959594;25,2;grey;#7F8589;18,48;grey;#35424C;7,37;dark blue-cyan;#62676A;4;grey
307;113,7;121;130,1;178,2;22,1;53,7;49,8;10,5;#758599;30,74;pale blue-cyan;#A6BCCD;20,32;pale blue-cyan;#474C52;19,26;dark blue-cyan;#1F262B;13,32;very dark blue-cyan;#827068;12,06;pale red-orange
308;74,5;87;104,7;215,3;40;41,1;35,2;12,5;#0D131C;20,78;very dark blue-cyan;#182540;20,51;dark blue-cyan;#3A4A61;19,53;blue-cyan;#607186;16,48;blue-cyan;#95A1AF;14,42;pale blue-cyan
309;142,4;144,5;147,2;152,3;12,4;58,6;58,3;3,7;#B6B9C1;31,87;light grey;#DDDCDB;26,71;very light grey;#0C0F0E;15,93;very dark blue-green;#777877;10,84;grey;#403E3A;7,68;dark orange
310;112,3;108,6;98,6;131,9;39,1;47,5;44,8;13,9;#1D180B;20,92;very dark orange;#717574;20,84;grey;#9299A5;17,91;pale blue-cyan;#483814;17,32;dark orange;#C8C8D5;16,7;very light grey
311;98,7;102,3;85,5;133,8;22,6;41,9;41,4;13,8;#2B2C2F;31,58;very dark blue;#3C4339;25,58;dark yellow-green;#BCBD7A;17,8;yellow;#6F7851;10;yellow;#CBD2D1;7,82;very light grey
312;166;164,2;148,5;78,3;15,6;65,7;66,7;9,6;#DDDCDA;34,18;very light grey;#787A6C;23,85;pale yellow;#B5B3AB;18,81;light grey;#998D69;8,47;yellow-orange;#5F5332;7,76;dark orange
313;146,8;151,3;156,9;177;9,2;62,2;61,3;5,2;#EBF0F9;23,73;white;#BDC3D1;20,18;pale blue-cyan;#6E7173;18,9;grey;#393C39;16,29;dark grey;#515456;11,78;dark grey
314;115,5;140,4;162;194,6;30,2;64,2;56,9;16,4;#7C9BC2;28,65;blue-cyan;#9EB9D4;26,52;light blue-cyan;#647E93;14,61;blue-cyan;#676D69;13,47;grey;#375261;13,19;blue-cyan
315;101,6;121,6;131,1;170,5;31,7;53,3;48,7;13,4;#1F2C2C;24,68;very dark cyan;#82A5C4;21,08;blue-cyan;#6A7474;16,71;pale cyan;#D2DDE2;16,62;very light grey;#3B5D7B;15,14;blue-cyan
316;97,7;124,6;151,5;173,3;41,4;62,3;51;24,4;#5B86CC;21,24;blue-cyan;#6385A6;19,96;blue-cyan;#3D596A;17,94;blue-cyan;#4A4938;16,95;dark yellow-orange;#8AB7EE;15,24;light blue-cyan
317;115,2;136,6;158,3;184,3;32,8;63,7;55,5;17,2;#2C4255;21,75;dark blue-cyan;#60778D;21,47;blue-cyan;#83B0E7;19,16;light blue-cyan;#837F79;15,54;grey;#A4C1E0;15,23;light blue-cyan
318;116,8;126,6;145,7;218,3;23,9;57,2;51,6;12,1;#404757;19,31;dark blue-cyan;#5A6881;17,98;blue-cyan;#7F90AF;17,44;blue-cyan;#222432;15,6;very dark blue;#E6EDF4;15,33;white
319;115,2;112,8;110,9;125,1;18,7;47,5;46,2;6,7;#211B18;20,85;very dark red-orange;#DBE0E9;20,17;very light grey;#443B30;19,01;dark orange;#989C9E;17,95;light grey;#696C6D;13,12;grey
320;155,8;158,4;166,5;235;8,7;65,4;64,5;5;#D6D5DC;34,46;very light grey;#484F57;18,73;dark blue-cyan;#BDBFCA;17,18;very light grey;#6C717B;15,14;pale blue-cyan;#93949D;12,95;light grey
321;111,6;126,9;145,6;196;26,8;57,9;51,8;13,5;#A1B6CF;27,31;pale blue-cyan;#8095AF;20,39;blue-cyan;#394656;19,61;dark blue-cyan;#596C83;17,25;blue-cyan;#1F2424;8,71;very dark cyan
322;62,5;75,2;88,9;176,6;47,6;36,5;30,4;12,1;#090D10;44,37;very dark blue-cyan;#2D4A70;18,23;blue-cyan;#56789F;13,69;blue-cyan;#97ABBD;10,43;pale blue-cyan;#DACAB5;7,35;pale orange
323;139,9;150,5;158;202,2;11,4;62;61,3;5,8;#A5AFB7;33,02;pale blue-cyan;#97A4AD;29,65;pale blue-cyan;#87949D;20,89;pale blue-cyan;#383B3C;8,2;dark grey;#4F5356;4,47;dark blue-cyan
324;123,2;127,3;127,6;120,2;18,8;54,6;52,6;10,1;#6E6C64;24,67;pale yellow-orange;#9B9080;20,01;pale orange;#464A48;18,87;dark grey;#94AFCD;14,4;blue-cyan;#607489;14,02;blue-cyan
325;94,2;92,6;86,3;96,1;28,8;38,5;37,3;7,2;#1E1C10;39,4;very dark yellow-orange;#DCDDD9;17,86;very light grey;#363531;12,35;dark yellow-orange;#A2A7B3;11,99;pale blue-cyan;#6E716D;9,6;grey
326;112,5;129,7;146,9;209;24,4;57,8;52,2;11,9;#8BA7C2;26,31;blue-cyan;#3B4651;17,42;dark blue-cyan;#B1CCE5;16,89;pale blue-cyan;#1A1A1D;16,78;very dark blue;#64778B;15,75;blue-cyan
327;115,7;126,3;132,1;143,9;26,9;56,6;51,8;14,5;#89B3D6;30,35;light blue-cyan;#72694A;20,37;yellow-orange;#766C6A;16,02;pale red;#363432;14,72;very dark grey;#57697B;12,09;blue-cyan
328;77,9;93,6;106,9;185,6;40,5;42,3;37,7;10,9;#050B0E;27,65;very dark blue-cyan;#3E6499;18,79;blue-cyan;#8A9EAA;15,89;pale blue-cyan;#C9D0CC;13,91;very light grey;#28353C;13,17;dark blue-cyan
329;82,8;106,1;136,8;212,6;39,2;53,7;43,4;19,4;#83AFE7;25,89;light blue-cyan;#5B6B7F;25,1;blue-cyan;#2E4661;16,94;blue-cyan;#1A2532;15,45;very dark blue-cyan;#484952;8,83;dark blue
330;98,4;99,6;100,1;130,4;13,8;40,9;40,9;4,1;#1F1B17;24,69;very dark orange;#41413F;22,05;dark grey;#9DA1A1;18,49;light grey;#737678;14,56;grey;#545C70;10,15;blue-cyan
331;140,2;152,5;149,2;159,9;11,6;60,2;60,8;6,1;#C3D2D2;27,86;very light grey;#2A3331;19,91;dark cyan;#A0ADA6;16,35;light grey;#E1EADE;13,27;very light grey;#4B5859;12,55;dark cyan
332;94,8;90,1;106,9;248,5;22,2;42,5;38,3;11,6;#666778;23,34;pale blue;#1F1A1F;22,05;very dark violet;#39394B;21,49;dark blue;#908FA4;19,61;pale blue;#DCD7DD;7,59;very light grey
333;109,8;101,3;86;62,1;32,7;44,5;41,7;13,1;#292219;37,05;very dark orange;#EBEBDD;17,82;very light grey;#576259;16,18;pale green;#52301C;11,77;dark red-orange;#A4A98F;11,61;pale yellow
334;140,8;152;168,6;205,5;20,8;67;62;11,6;#B7C3D3;41,36;pale blue-cyan;#8B9BB1;24,11;pale blue-cyan;#51637C;16,18;blue-cyan;#8E8A8B;9,41;grey;#2B333F;7,84;dark blue-cyan
335;117,6;114;109,9;112;17,8;48,6;46,7;7,9;#C6B9A6;35,65;pale orange;#131010;22,56;very dark red;#9B9C97;14,92;light grey;#656973;9,49;pale blue-cyan;#353235;9,17;very dark grey
336;100;78;60,7;65,4;53,4;41,3;34,6;20,6;#61321B;25,51;red-orange;#1F130D;23,28;very dark red-orange;#5E544D;14,34;dark red-orange;#9F7C63;13,43;red-orange;#80662C;12,98;orange
337;131,6;126,2;117,1;124,2;24,5;53,3;51,6;9,7;#DDDFE0;24,04;very light grey;#201C14;22,17;very dark orange;#A9A9AB;20;light grey;#5D5C5C;16,1;dark grey;#5D4624;10,19;dark orange
338;144,1;142,9;148,2;114,3;14,9;61,8;59,2;8,7;#7D7671;30,54;pale red-orange;#A59C97;24,87;pale red-orange;#97A7C4;12,75;pale blue-cyan;#DDE7F5;11,8;pale blue-cyan;#594C46;11,24;dark red-orange
339;119,1;104,2;100,1;100,5;47;53,2;44,8;20,4;#5C301B;22,11;dark red-orange;#6A86A7;18,46;blue-cyan;#D5E5F0;16,93;pale blue-cyan;#2B1510;16,17;very dark red;#7D695E;15,4;pale red-orange
340;131,4;126,3;125,2;148,1;16,5;53,4;51,9;6,6;#E2E4EB;27,94;very light grey;#2B2322;17,67;very dark red;#5C493A;15,96;dark red-orange;#4C4C51;14,61;dark grey;#7E7267;13,51;pale red-orange
341;69;74,7;80,5;148,3;28,5;33;30,1;7,2;#0C0D0B;38,93;very dark yellow-green;#364150;16,15;dark blue-cyan;#BAC6CE;15,12;pale blue-cyan;#70787F;13,7;pale blue-cyan;#342923;10,44;dark red-orange
342;120,5;114,9;95,6;88,6;35,1;49,2;47,9;16,3;#A39D99;30,96;light grey;#484E1F;28,66;dark yellow;#604321;13,72;dark orange;#766966;9,95;pale red;#CED6E0;8,98;pale blue-cyan
343;135,7;139,8;147,1;199,7;11,9;58,9;57,9;6,6;#817F83;32,21;grey;#98A5B1;24,73;pale blue-cyan;#707E8D;14,66;pale blue-cyan;#60636A;14,37;pale blue-cyan;#A4938E;7,9;pale red
344;135;142,5;148,3;174,4;12,9;59,1;57,8;6,2;#777C7F;25,68;grey;#5D5D5C;23,59;dark grey;#E2ECF3;21,45;white;#A6BBCC;14,31;pale blue-cyan;#292420;8,98;very dark red-orange
345;115,3;119,5;125,7;116,7;38,1;57,9;49,6;20;#68553C;24,77;orange;#AB987D;17,02;orange;#291F17;16,33;very dark red-orange;#6C9EE2;15,4;blue-cyan;#A5C3E2;14,14;light blue-cyan
346;132,3;149,4;156,3;189,8;17,5;61,6;59,6;8,2;#B0CBD7;22,2;pale blue-cyan;#61747A;22,02;pale cyan;#3E494E;21,23;dark blue-cyan;#DFF1F7;17,91;pale blue-cyan;#919EA3;11,66;pale blue-cyan
347;106,1;111,4;118,2;149,4;28,7;49,7;45,8;11,8;#C3C1BA;27,96;light grey;#545F64;25,67;pale blue-cyan;#1D1D2A;24,56;very dark blue;#91877C;13,96;pale orange;#2F86D1;4,29;vivid blue-cyan
348;135,1;131,6;127;158;14,3;54,1;54,1;7;#808081;22,82;grey;#545139;22,63;dark yellow-orange;#FCFEFD;17,6;white;#685E60;16,49;pale red;#B2ACAF;11,11;light grey
349;116,9;122;128,2;179,3;13,9;51,1;49,9;6,2;#5E6466;30,73;grey;#818B9A;17,72;pale blue-cyan;#3E4245;17,24;dark blue-cyan;#E4E6EB;12,98;very light grey;#AEB4C2;12,74;pale blue-cyan
350;107,7;114,9;117,6;148,1;24,6;48,5;46,5;8,6;#222011;23,7;very dark yellow-orange;#3E4445;22,47;dark cyan;#879FBB;17,11;blue-cyan;#6C7273;12,64;grey;#B0BAC1;12,09;pale blue-cyan
351;155,4;164,8;165,7;176,9;8,1;65,5;66,6;4,2;#8E9795;30,87;grey;#C5CDCF;16,57;very light grey;#A1A9A6;16,04;light grey;#E3E8E9;13,37;very light grey;#56646A;12,32;pale blue-cyan
352;101,9;122,1;119,5;153,4;26,6;51,9;48,9;15,8;#44573A;23,76;dark yellow-green;#A8C5ED;20,1;light blue-cyan;#5D6D66;18,81;pale blue-green;#2C3533;17,41;dark cyan;#8DA7AB;14,01;pale cyan
353;117,9;124,5;109;104,3;21,9;49,4;50,1;11;#B4B7B1;36,55;light grey;#4C5A2F;19,23;dark yellow-green;#222725;14,01;very dark blue-green;#344127;13,66;dark yellow-green;#6C6E65;10,86;pale yellow
354;113,6;119,9;135,5;151,9;25,8;57;49,8;15,7;#373231;23,46;dark red;#907F73;19,25;pale red-orange;#585A63;19,03;pale blue;#7098DA;18,26;blue-cyan;#93B0DB;12,31;light blue-cyan
355;147,9;145,9;148,9;279,3;2,5;58,4;60;1,9;#747275;27,77;grey;#939194;20,63;grey;#E2E0E3;18,63;very light grey;#B6B4B7;18,57;light grey;#4F4D50;7,7;dark grey
356;89,4;115,8;156,2;216,9;45,5;61,3;47,5;24,9;#6C95D0;25,77;blue-cyan;#92B0D7;20,61;light blue-cyan;#5D6F93;18,9;blue-cyan;#20304D;18,32;dark blue-cyan;#3B5076;12,39;blue-cyan
357;129,2;125,5;105,5;58,1;36,9;51,7;50,4;12,7;#EFF0E7;25,94;white;#151207;21,34;very dark yellow-orange;#403620;17,44;dark orange;#C1BAAB;14,17;pale orange;#5E6924;10,64;yellow
358;81,5;82,2;81,4;131,3;21,3;36,7;33,6;9,4;#353535;34,53;very dark grey;#191A19;27,82;very dark grey;#645C53;12,11;pale orange;#E5CFA5;11,77;light orange;#6388BC;8,62;blue-cyan
359;57,6;72,3;52,7;121;47,5;29,1;28,5;15,5;#2A3F3B;29,52;dark cyan;#545F57;19,93;dark blue-green;#111810;19,43;very dark green;#24340A;12,63;dark yellow-green;#455C0F;12,38;dark yellow-green
360;143,2;148,6;150,3;176,8;12,8;61,1;60,2;6,9;#DBE1E8;23,49;very light grey;#A7B2BC;22,25;pale blue-cyan;#373C40;19,77;dark blue-cyan;#777375;15,4;grey;#ABAA9C;10,56;pale yellow-orange
361;154,2;159,1;163,5;166,9;12,8;66,5;64,8;7,3;#B8C9D8;23,57;pale blue-cyan;#929DA5;21,33;pale blue-cyan;#D2D3D5;17,44;very light grey;#4C4B42;14,98;dark yellow-orange;#74777F;14,46;pale blue-cyan
362;132,5;147,8;155;184,7;19,9;62,1;59,9;9,5;#788992;42,75;pale blue-cyan;#A6BDCA;18,01;pale blue-cyan;#CCD3D6;15,57;very light grey;#4D677C;11,51;blue-cyan;#343D2B;7,13;dark yellow-green
363;86,2;103,2;110,7;163,6;34,1;45,6;40,7;12,9;#1A1E17;38,25;very dark yellow-green;#C9DDE9;19,54;pale blue-cyan;#8FACC0;13,91;blue-cyan;#1C3053;11,66;dark blue-cyan;#476C85;11,5;blue-cyan
364;126,8;130,6;140,1;223,8;11,4;55;53,6;5,8;#9399A4;22,75;pale blue-cyan;#CCD0DB;22,16;very light grey;#7B8089;20,47;pale blue-cyan;#26262F;12,32;very dark blue;#5F626A;11,4;pale blue-cyan
365;93,9;108;119,6;147,2;35,9;49,7;43,2;15,1;#1D1F12;43,76;very dark yellow;#B0C9E4;17,43;pale blue-cyan;#82ABE6;16,47;light blue-cyan;#8F9BAD;13,29;pale blue-cyan;#596A7F;5,74;blue-cyan
366;91,7;111,4;126,8;152,1;54,2;56,1;45,5;24,2;#A6D9E9;19,97;light cyan;#5A8FBC;19,36;blue-cyan;#19181F;17;very dark blue;#4E371D;16,58;dark orange;#163F84;14,59;blue-cyan
367;113,7;122,3;130,2;149,9;19,2;51,9;49;7,6;#191914;18,74;very dark yellow;#F9FCFD;17,72;white;#9AAABC;17,71;pale blue-cyan;#75869A;17,25;pale blue-cyan;#4B5B6C;14,36;blue-cyan
368;89,9;91,2;84;112,4;40,4;43,1;38,6;17,3;#3E617B;24,36;blue-cyan;#3C3226;19,51;dark orange;#71868C;14,46;pale cyan;#675034;14,22;orange;#936E3C;13,81;orange
369;109,7;120,5;124,2;133,8;27,8;52,4;48,4;11,4;#BEC9D0;23,28;pale blue-cyan;#171911;21,21;very dark yellow-green;#88B7D8;19,89;light blue-cyan;#3F382C;14,67;dark orange;#70614A;10,6;orange
370;85,9;80,1;80,6;171,9;17,4;34,7;33,5;5,2;#48382E;19,68;dark red-orange;#2E2C2D;18,62;very dark grey;#191414;18,48;very dark red;#545155;15,38;dark grey;#B8B5BB;14,81;light grey
371;99,3;97,5;94,7;116;18,2;40,8;40,5;5,9;#4B4B4C;28,85;dark grey;#201E16;20,09;very dark yellow-orange;#6D7378;19,22;pale blue-cyan;#9C9992;16,97;light grey;#715B50;8,59;red-orange
372;116,7;129,1;146,6;186,2;24,4;58,8;52,5;13,3;#99B6DC;20,74;light blue-cyan;#454E5D;19,84;dark blue-cyan;#292B30;18,89;very dark blue-cyan;#C0D4EE;16,42;pale blue-cyan;#677890;12,11;blue-cyan
373;130,8;133,2;134,9;153,5;14,8;55;54,4;5,5;#D4DADD;26,2;very light grey;#A1A3A5;19,36;light grey;#3E4247;16,28;dark blue-cyan;#70655B;15,02;pale red-orange;#64717D;13,99;pale blue-cyan
374;96,5;101,7;88;118,1;26,9;41,4;41,1;12,1;#4F5050;22,4;dark grey;#3D4725;21,29;dark yellow-green;#1F2219;19,74;very dark yellow-green;#C9D1D9;16,73;very light grey;#888984;11,65;grey
375;118;115,1;110,7;138,2;15,6;48,6;46,8;7,4;#181719;31,16;very dark blue-violet;#968F84;18,38;pale orange;#494A4D;14,75;dark grey;#A7B6C1;13,6;pale blue-cyan;#D9D7CD;12,39;very light grey
376;120,6;123,5;118,1;107;14,5;49,1;49,9;4,8;#C5C8C4;22,77;very light grey;#464A42;22,23;dark yellow-green;#1C1912;19,43;very dark orange;#A0A6A5;14,75;light grey;#646964;13,48;grey
377;107,8;100,8;98,2;116;16,4;43,3;42,2;6,4;#232224;24,82;very dark grey;#8B7F78;21,61;pale red-orange;#A89D97;16,93;pale red-orange;#685F5A;15,95;pale red-orange;#474243;15,01;dark grey
378;110;113,4;115,8;181,3;14,5;47,7;47,3;8,2;#5A5D67;25,33;pale blue;#90917B;20,2;pale yellow;#9295A0;17,74;pale blue;#717682;15,86;pale blue-cyan;#363C44;11,03;dark blue-cyan
379;83,2;132,5;185,9;211,5;57,6;72,9;53,5;33,5;#7BB7EB;31,45;blue-cyan;#66A4DE;17,21;blue-cyan;#26497D;16,59;blue-cyan;#3B659D;14,59;blue-cyan;#5285BC;11,07;blue-cyan
380;123,4;116,1;119,8;228,6;9,1;48,9;48,3;4,6;#C5BABF;32,43;light grey;#9E9398;18,44;light grey;#2B2B2A;15,9;very dark grey;#4E474A;11,45;dark red-violet;#766C71;11,05;pale red-violet
381;156,7;152,4;146,5;69,4;10,8;61,5;62;4,4;#E2E1DF;44,12;very light grey;#766F69;16,36;pale red-orange;#4F4A46;15,59;dark red-orange;#5D5239;9,31;dark orange;#3F3428;7,34;dark orange
382;85,4;110,2;143,2;209;40,6;56,4;44,8;21,1;#1E2937;26,79;dark blue-cyan;#5F8CD3;18,8;blue-cyan;#81AFE1;16,28;light blue-cyan;#354D6F;15,62;blue-cyan;#5C5B5F;13,44;dark grey
383;72,2;80,4;64,9;101,3;33,5;32,4;31,5;12,5;#0F110E;27,06;very dark yellow-green;#222A18;26,98;very dark yellow-green;#3E4B24;15,28;dark yellow-green;#D3DCDE;13,18;very light grey;#818D92;10,55;pale blue-cyan
384;148,2;142,9;126,4;77,2;22,1;60,4;58,4;13,1;#DECFBF;39,84;pale orange;#545D5E;19,49;dark cyan;#30342E;14,36;dark yellow-green;#AC9B71;13,27;orange;#636241;12,1;yellow-orange
385;121,5;133,2;147,7;156,9;28,4;61,9;55,1;16,6;#6782A5;25,57;blue-cyan;#7AA0C9;23,55;blue-cyan;#908A88;19,63;grey;#7A654E;12,22;orange;#444848;11,94;dark grey
386;134,5;143,7;148,2;153,5;15,9;60,1;58,6;8,5;#93958C;19,04;grey;#98ACC4;18,17;pale blue-cyan;#D4D3D1;17,94;very light grey;#5D655D;17,28;dark grey;#727F89;16,4;pale blue-cyan
387;110;122,7;134,5;207;20,8;53;50,5;9;#5B636C;45,91;pale blue-cyan;#88929F;26,6;pale blue-cyan;#C1C6CB;13,71;very light grey;#21425A;6,45;dark blue-cyan;#3480A6;4,36;blue-cyan
388;149,4;151,1;144,1;87,6;14,7;60,4;60,9;6,5;#F2F4F5;28,36;white;#86867F;22,89;grey;#A8A9A2;19,3;light grey;#454522;10,71;dark yellow;#464C4E;10,22;dark blue-cyan
389;123,9;104,5;92,8;95,1;31,4;49;44,4;14,1;#302222;30,82;very dark red;#E3E2DE;17,69;very light grey;#63514D;16,08;pale red;#AB9787;14,31;pale red-orange;#6B452A;12,92;red-orange
390;155;157,5;156,2;151;15,9;65,2;63,6;8,2;#E9F2F9;27,41;white;#B7C1C7;19,99;pale blue-cyan;#626659;17,36;pale yellow-green;#98958E;17,34;grey;#2E3130;12,44;very dark grey
391;125,5;127,1;119,8;69;26,1;50,9;50,2;6,6;#FCFDFD;35,25;white;#0D0D08;21,39;very dark yellow;#292B1A;16,7;very dark yellow;#585646;10,88;dark yellow-orange;#9597A1;9,26;light grey
392;107,5;116,5;120,4;168,3;25,3;51,4;48,1;13,2;#99AEBB;24,86;pale blue-cyan;#758DA3;21,72;blue-cyan;#51585E;19,81;dark blue-cyan;#38362F;15,3;dark yellow-orange;#565D3D;14,73;dark yellow
393;91,8;115;138,9;189;39;55,9;46,4;18,8;#6895CF;21,77;blue-cyan;#2B3D56;20,06;dark blue-cyan;#9DBCD6;19,78;light blue-cyan;#0F1413;15,82;very dark cyan;#677F95;13,99;blue-cyan
394;114,6;119,3;115,1;126,3;23,9;49,7;48,6;9,4;#6F7873;24,56;grey;#A7BACA;21,1;pale blue-cyan;#4B4D42;20;dark yellow;#251F1B;13,5;very dark red-orange;#D1D4CC;12,28;very light grey
395;81,2;76,7;66,9;80;43,6;32,4;31,2;6,2;#060805;50,96;very dark yellow-green;#C5B49E;12,82;pale orange;#7F715E;11,32;orange;#93918F;8,53;grey;#46433A;8,52;dark orange
396;97,3;118,3;129;166,1;37,8;52,1;46,7;13;#090C0E;27,57;very dark blue-cyan;#698EAE;19,24;blue-cyan;#A2C4D4;16,73;pale blue-cyan;#DFEFE3;16,49;white;#374549;12,28;dark cyan
397;99;107,3;106,5;134,5;27,3;47,2;44,2;14,9;#6C7674;28,99;pale cyan;#53603F;22,3;dark yellow-green;#4B4940;16,03;dark yellow-orange;#7A94D2;13,93;light blue-cyan;#1F1C17;10,2;very dark orange
398;141,3;134,1;123,2;102,5;24,4;57,3;55,2;11,8;#AAA799;20,34;pale yellow-orange;#F0FAEA;19,63;white;#7B7F84;18,74;grey;#3D2723;15,2;dark red;#736355;13,76;red-orange
399;98,5;102,1;107,9;195,9;12,6;42,5;41,7;4,3;#333840;27,17;dark blue-cyan;#7F838A;18,16;grey;#141617;17,01;very dark blue-cyan;#AAAFB5;15,83;light grey;#5A5E65;14,15;pale blue-cyan
400;124,1;146,4;171,4;193,2;27,9;68,1;59,4;18,5;#6883A3;24,29;blue-cyan;#586A72;20,52;pale blue-cyan;#9FBAFD;18,63;light blue-cyan;#BFDBF9;15,51;pale blue-cyan;#8A8D87;10,89;grey
401;50,2;69,9;80,7;141;47,9;33,9;27,7;13,8;#090B08;45,1;very dark yellow-green;#4372A1;18,78;blue-cyan;#86C2DF;12,07;light blue-cyan;#414535;11,23;dark yellow-green;#284961;9,34;blue-cyan
402;138;137,8;136,3;114;16,5;57,9;56,2;8,3;#B1BFD5;21,46;pale blue-cyan;#D8D5CA;18,56;very light grey;#9E998F;17,41;pale orange;#726F6C;16,62;grey;#463C33;14,19;dark red-orange
403;132;131,4;126,2;109,2;16,8;54,3;54,1;7,4;#979A9A;29,66;light grey;#7C756C;22,79;pale orange;#C3C9CE;20,27;very light grey;#55483A;15,03;dark orange;#191914;8,31;very dark yellow
404;118;138,5;148,2;176;30,2;60;55,3;13,1;#90A7B9;27,52;pale blue-cyan;#D6E2E9;21,43;pale blue-cyan;#5880A5;18,81;blue-cyan;#545C5D;12,87;dark cyan;#111A13;11,1;very dark green
405;110,5;119,5;92,7;92,5;30,8;47,4;47,5;17,3;#424F29;27;dark yellow-green;#222520;18,85;very dark yellow-green;#748643;15,63;yellow-green;#F2F7F5;15,14;white;#6C705D;12,75;pale yellow
406;124,2;124,5;122;134,8;11,9;50,9;51,4;5,4;#B8BCBF;22,4;light grey;#8F9398;20,45;grey;#726D69;19,26;grey;#4E4C44;15,89;dark yellow-orange;#282B25;13,15;very dark yellow-green
407;157,5;160,9;159,2;157,3;13,4;65,3;64,4;6,1;#E9F0F0;32,99;white;#BCC8CB;25,89;very light grey;#29282A;16;very dark grey;#4E4D45;11;dark yellow-orange;#674E35;7,74;orange
408;119,2;123;119,9;134,9;11,3;49,4;50,4;4,8;#7A8181;37,07;grey;#BFBEB6;24,25;light grey;#647076;13,77;pale blue-cyan;#171B15;12,84;very dark yellow-green;#444641;8,91;dark grey
409;126,3;127,8;125,7;121,5;7,7;51,1;52,3;3,5;#484A47;24,48;dark grey;#B4B5B8;19,86;light grey;#8D8E8D;16,13;grey;#686863;15,69;grey;#EAEAE8;12,14;very light grey
410;136,8;143;144,1;119,2;21,2;60,3;58;9,5;#BFB7A8;29,85;pale orange;#7E7E79;18,47;grey;#59758D;18,29;blue-cyan;#F4F6F2;13,16;white;#33485E;12,39;dark blue-cyan
411;186,3;190,5;192,3;188;3,5;75,5;76,6;2,3;#B5BABA;26,93;light grey;#E8EBED;24,99;very light grey;#A5AAAA;24,46;light grey;#CFD1D7;11,21;very light grey;#8F9396;8,99;grey
412;155,4;151,3;143,3;61,9;16,8;61,6;61,3;6,6;#F4F6F6;28,59;white;#847F73;22,1;pale orange;#D1D2D2;14,87;very light grey;#54514C;14,75;dark orange;#2E2019;11,9;very dark red-orange
413;140,1;131,7;125,3;90,9;19,9;56,5;54,8;9,1;#D8DAD9;28,36;very light grey;#6D7574;18,13;grey;#814E3B;16,45;red-orange;#969893;14,47;grey;#574A40;13,52;dark red-orange
414;117,7;124,5;123,1;153,9;20,6;50,5;50,1;6,8;#6E777B;26,06;pale blue-cyan;#F7FCFD;18,63;white;#464D50;16;dark blue-cyan;#9AA1A1;15,43;light grey;#101512;13,97;very dark blue-green
