IMAGE COLOR SUMMARIZER  —  Batch Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Image Info;;;;;;Mean Values;;;;;;;;Color 1;;;Color 2;;;Color 3;;;Color 4;;;Color 5;;;
#;URL;Filename;ID;placeInfo/name;W×H;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;Status
16;https://media-cdn.tripadvisor.com/media/photo-m/1280/29/e7/81/cc/caption.jpg;caption.jpg;906870500;Cave of Dragon (Spilia tou drakou);1280×576;105,7;83;85,4;190,6;40,9;43,6;36,8;17,2;#241119;36,28;very dark red-violet;#A198A3;25,11;light grey;#615B5E;16;dark grey;#702A38;9,54;red;#AF6753;6,98;red;✓ OK
17;https://media-cdn.tripadvisor.com/media/photo-m/1280/27/be/10/a2/kastoria-dragon-cave.jpg;kastoria-dragon-cave.jpg;874484762;Cave of Dragon (Spilia tou drakou);1280×959;74,2;51;33;32;61,5;29,1;22,1;17,2;#1A0D09;41,35;very dark red;#381F13;32,44;dark red-orange;#673F24;10,64;red-orange;#B68045;7,43;orange;#F4D87F;4,75;yellow-orange;✓ OK
18;https://media-cdn.tripadvisor.com/media/photo-m/1280/23/5a/9f/10/350-25.jpg;350-25.jpg;837833503;Cave of Dragon (Spilia tou drakou);1280×720;109,1;89,9;75,2;56,5;36,3;42,8;38,7;13,7;#3D2F20;24,65;dark orange;#5F4E3A;20,84;dark orange;#C0AEA6;18,78;pale red-orange;#907A6B;15,52;red-orange;#1B1111;14,24;very dark red;✓ OK
19;https://media-cdn.tripadvisor.com/media/photo-w/23/55/51/ad/caption.jpg;caption.jpg;837481459;Cave of Dragon (Spilia tou drakou);1024×1819;88,5;62,8;35,2;35,6;64,2;34,7;27,6;21,3;#171108;37,33;very dark orange;#3C2713;16,53;dark red-orange;#613F1E;15,47;red-orange;#8D5C2B;13,32;red-orange;#B6854E;10,46;orange;✓ OK
20;https://media-cdn.tripadvisor.com/media/photo-w/23/3f/80/63/caption.jpg;caption.jpg;836409538;Cave of Dragon (Spilia tou drakou);1024×1365;92,3;72,9;53,1;44;54,8;36,2;31,2;15,6;#140C05;27,01;very dark red-orange;#342313;26,59;dark red-orange;#958474;14,37;pale red-orange;#634527;13,31;red-orange;#C9BCAC;11,37;pale orange;✓ OK
21;https://media-cdn.tripadvisor.com/media/photo-w/22/11/03/f0/cave-of-dragon-spilia.jpg;cave-of-dragon-spilia.jpg;827794495;Cave of Dragon (Spilia tou drakou);1024×1365;84,2;62,5;39,3;72,3;46,1;33,2;26,8;18,3;#161211;43,26;very dark red;#3A2517;18,35;dark red-orange;#A7773D;15,02;orange;#704926;13,15;red-orange;#E3B563;8,22;orange;✓ OK
22;https://media-cdn.tripadvisor.com/media/photo-w/21/c8/df/9b/caption.jpg;caption.jpg;823954613;Cave of Dragon (Spilia tou drakou);1024×1365;104,2;60,4;32,7;37,7;66,4;40,9;29,4;29,9;#4A2219;32,29;dark red;#753A21;25,69;red-orange;#190C0B;20,17;very dark red;#B26E31;12,55;red-orange;#EEB740;8,16;orange;✓ OK
23;https://media-cdn.tripadvisor.com/media/photo-m/1280/21/78/15/74/caption.jpg;caption.jpg;820217578;Cave of Dragon (Spilia tou drakou);1280×853;82,6;78,8;71,5;81,9;21,1;33,1;32,6;6,8;#343027;27,39;dark orange;#15130F;22,91;very dark orange;#5B554A;19,13;dark orange;#7D7A76;16,67;grey;#ACADB2;11,77;light grey;✓ OK
24;https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/9d/73/b2/img-20210817-wa0004-largejpg.jpg;img-20210817-wa0004-largejpg.jpg;804438639;Cave of Dragon (Spilia tou drakou);1280×720;114,5;77,7;37,4;51,5;69,9;45,3;35,5;30,7;#201109;22,27;very dark red-orange;#CA841E;20,1;vivid orange;#4B280C;19,76;dark red-orange;#8A5419;15,07;orange;#554A4B;11,59;dark red;✓ OK
25;https://media-cdn.tripadvisor.com/media/photo-w/1c/32/8c/5f/caption.jpg;caption.jpg;774788798;Cave of Dragon (Spilia tou drakou);1024×2217;107,5;100,8;89,9;81;28,7;44;42,1;11,3;#5C5856;22,85;dark grey;#261C14;21,49;very dark red-orange;#8D8885;19,87;grey;#C9C2B7;16,4;pale orange;#3E4E2C;11,98;dark yellow-green;✓ OK
